Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (g86),Error (curve),Error (g59),Error (g237),Reduced Error
1985.7,0.15762,109.45,8.1021,0.062061,0.11767,0.05255,0.28013,0.068803,0.090158,0.6713714213252872
1950.2,0.15689,109.53,8.1236,0.062212,0.11693,0.052423,0.28554,0.069161,0.089821,0.676085578690659
1984.0,0.14965,115.28,7.7176,0.061627,0.11971,0.052728,0.28441,0.068427,0.091013,0.6779151807552649
1991.7,0.1553,109.92,8.0439,0.061952,0.11803,0.052584,0.28869,0.06872,0.090361,0.6803370504284668
1985.7,0.15807,108.65,8.129,0.062102,0.11752,0.052531,0.28961,0.068845,0.09009,0.6806937688738062
1987.2,0.15656,109.76,8.2588,0.061996,0.11674,0.052544,0.29056,0.06907,0.090108,0.6810161045301926
1966.9,0.15709,110.03,8.2182,0.062095,0.11666,0.052484,0.29251,0.069157,0.089946,0.6828494550072518
1984.1,0.15843,109.31,8.3079,0.062048,0.11646,0.052525,0.30038,0.06913,0.090004,0.690548631467053
1986.0,0.15738,109.58,8.3227,0.062,0.11637,0.052533,0.30247,0.069161,0.090057,0.6925929223707641
1980.8,0.15879,108.34,8.3241,0.062096,0.1163,0.052493,0.30745,0.06919,0.089928,0.6974574446707031
