Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g303),Error (g237),Error (g86),Error (curve),Error (g59),Error (g63),Reduced Error
239.07,188.11,64.257,15.959,5.7228e-05,0.07209,0.081735,0.056705,0.23501,0.062822,0.13091,0.6392764000576121
244.32,163.2,64.549,15.969,6.3332e-05,0.07238,0.080755,0.05706,0.23886,0.062643,0.13151,0.6432084575104247
239.49,191.37,63.655,15.958,5.7379e-05,0.072171,0.081737,0.056672,0.23899,0.062829,0.13097,0.6433689795598094
244.64,160.57,65.103,15.969,6.317e-05,0.072317,0.080738,0.057096,0.24066,0.062623,0.13149,0.6449192178648022
248.69,163.08,64.251,15.968,6.3477e-05,0.072553,0.08053,0.057114,0.2413,0.062577,0.1317,0.6457682540428529
237.86,192.95,63.599,15.958,5.722e-05,0.072123,0.081848,0.056632,0.2445,0.062865,0.13089,0.6488671821517036
131.83,0.0088295,57.325,15.957,5.2489e-05,0.059089,0.08867,0.056775,0.2595,0.062347,0.12258,0.648959619937294
241.93,183.66,63.997,15.959,5.7226e-05,0.072216,0.081481,0.056791,0.24698,0.06274,0.1311,0.6513089609400246
244.63,184.61,64.881,15.96,6.3258e-05,0.072284,0.081287,0.056802,0.24797,0.062802,0.13119,0.6523371373918562
242.6,166.89,64.65,15.969,5.7422e-05,0.072203,0.081087,0.057005,0.24924,0.062614,0.13127,0.6534238093524533
