param_type,param_name,base,in_u_bound,in_l_bound,out_u_bound,out_l_bound
input,cp_tau_s,10,3.5698302058030955,2.396042344810998,1,0
input,cp_b,10,0.9951479851766417,-1.1782245328165364,1,0
input,cp_tau_0,10,2.695122534611542,1.3231489300840409,1,0
input,cp_n,10,1.2951711067901035,0.5122573612939634,1,0
input,average_strain,10,-0.5449113939590478,-2.4860769116755055,1,0
output,average_stress,10,3.870111155364401,2.3928375926656558,1,0
output,g39_phi_1,10,-0.1888071805395725,-0.2555505425532015,1,0
output,g39_Phi,10,0.2780215409701317,0.2711443179490783,1,0
output,g39_phi_2,10,0.4469563477954599,0.43306543399147984,1,0
output,g50_phi_1,10,0.2731865315234748,0.16447182427768978,1,0
output,g50_Phi,10,0.34155322210957734,0.3361393986085567,1,0
output,g50_phi_2,10,0.5143219139450625,0.5028093493890419,1,0
output,g138_phi_1,10,-0.3315395327164079,-2.203078924669831,1,0
output,g138_Phi,10,0.42968769609539575,0.4206817177038513,1,0
output,g138_phi_2,10,0.3631793500586859,0.31152076244804877,1,0
output,g164_phi_1,10,-0.48835723798312114,-0.7340742522356891,1,0
output,g164_Phi,10,0.38154825619109883,0.36129332424357513,1,0
output,g164_phi_2,10,0.5367856302506991,0.5279390806294632,1,0
output,g185_phi_1,10,-0.13582129324016023,-0.350382844267413,1,0
output,g185_Phi,10,0.3891660843645325,0.3661987473697263,1,0
output,g185_phi_2,10,0.4567151505685928,0.4335778381295622,1,0
output,g223_phi_1,10,0.669893077562276,0.628756647306122,1,0
output,g223_Phi,10,0.4755985577561688,0.4539448623406684,1,0
output,g223_phi_2,10,0.7981324972646134,-2.33832926395964,1,0
output,g243_phi_1,10,0.3909351071033791,0.374289987675311,1,0
output,g243_Phi,10,0.35251052782073067,0.3466463175768897,1,0
output,g243_phi_2,10,0.581676645960176,0.5763528698005443,1,0
output,g238_phi_1,10,-0.08882107671647892,-0.11270910571234019,1,0
output,g238_Phi,10,0.3066823110190551,0.2793703181791082,1,0
output,g238_phi_2,10,0.5342292372487546,0.5262229329282195,1,0
