Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
166.24,0.80236,1.1172,19.024,0.11996,0.10243,0.65136,0.051355,0.042424,0.13452,0.11739,0.27085,1.2593,2.7496358313739586
88.261,2.0008,24.076,19.846,0.11756,0.092537,0.45677,0.055772,0.031029,0.11961,0.11154,0.27252,1.6628,2.9201516844553943
202.87,13.996,10.351,6.284,0.10771,0.13011,0.19432,0.034833,0.053348,0.14142,0.13914,0.24201,2.0224,3.0653019338848226
134.37,8.0629,7.5449,4.2534,0.1126,0.13614,0.22868,0.050974,0.054151,0.15055,0.13884,0.24064,1.9557,3.0682779993499247
588.9,1.3983,0.54041,11.447,0.11078,0.12037,1.2791,0.072411,0.055943,0.13981,0.12733,0.25557,0.91369,3.0750382014392588
600.17,1.2213,0.43273,11.351,0.11118,0.12075,1.2067,0.075783,0.057114,0.14118,0.12748,0.256,0.99358,3.089794063384477
564.65,1.3983,0.54041,11.506,0.11087,0.12033,1.286,0.072082,0.055776,0.13992,0.12724,0.25568,0.92255,3.0904839334594314
564.86,1.3984,0.53874,11.506,0.11087,0.12036,1.2945,0.072131,0.055805,0.13995,0.12725,0.25567,0.92755,3.1041243016603106
603.87,1.2728,0.46974,11.499,0.11105,0.12037,1.3791,0.074496,0.056693,0.14053,0.12736,0.25601,0.88123,3.1468548460825696
147.54,13.799,26.999,7.2329,0.10691,0.1209,0.22665,0.034592,0.046989,0.13797,0.13729,0.24634,2.1013,3.158976373515931
