Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
421.5,12.505,87.273,2.3825,0.043732,0.10085,0.082515,0.14156,0.22597,0.10137,0.22133,0.11419,0.11818,1.149708414418533
423.01,13.356,87.2,2.3768,0.043722,0.10092,0.082839,0.14164,0.22602,0.1016,0.22306,0.11419,0.11824,1.1522360436490664
421.4,13.423,87.227,2.3934,0.043728,0.10078,0.08222,0.14149,0.22592,0.10118,0.22485,0.11418,0.11814,1.152476598015769
424.66,13.093,87.273,2.361,0.043712,0.10103,0.083407,0.14178,0.22612,0.10198,0.2227,0.1142,0.11833,1.15325898699295
425.12,13.433,87.278,2.361,0.04371,0.10103,0.083459,0.14179,0.22613,0.10202,0.22347,0.1142,0.11835,1.1541477082101335
423.93,13.202,87.735,2.3567,0.043705,0.10108,0.083644,0.14184,0.22616,0.10212,0.22305,0.11419,0.11837,1.1541624554710814
423.85,13.209,87.745,2.357,0.043705,0.10108,0.083633,0.14183,0.22616,0.10212,0.2231,0.11419,0.11837,1.1541786549789403
424.08,13.201,87.735,2.3567,0.043704,0.10108,0.083645,0.14184,0.22616,0.10213,0.22311,0.11419,0.11837,1.154225258227438
425.8,13.093,87.291,2.3529,0.043706,0.10108,0.083715,0.14186,0.22617,0.10219,0.22353,0.11421,0.11838,1.1548469525835212
423.85,13.203,87.86,2.3575,0.043704,0.10108,0.08363,0.14183,0.22616,0.10211,0.22389,0.11419,0.11837,1.1549682856652561
