Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g207),Error (curve),Error (g72),Error (g262),Error (g240),Error (g14),Error (g101),Error (g287),Error (g95),Reduced Error
0.018425,501.83,620.35,857.29,238.47,219.21,70.882,12.334,0.044215,0.55411,0.15374,0.13476,0.22455,0.05112,0.036435,0.1018,0.14496,1.4456847382503906
0.018205,501.15,618.0,857.33,238.45,216.75,70.855,12.286,0.044249,0.55614,0.16672,0.13474,0.2246,0.051153,0.03642,0.10181,0.14499,1.4608304779429575
0.026423,517.39,620.37,860.47,238.43,224.98,71.17,12.338,0.043906,0.49385,0.23879,0.13523,0.2243,0.050737,0.036563,0.10149,0.14524,1.4701008160484677
0.02023,517.55,620.37,860.64,226.86,225.09,70.126,12.405,0.044182,0.59817,0.20935,0.1351,0.22441,0.050991,0.036761,0.1015,0.14541,1.5458677721538012
0.015801,508.04,620.35,860.52,227.62,224.29,70.132,12.409,0.044281,0.62994,0.23861,0.13472,0.22447,0.051228,0.036643,0.10169,0.14514,1.6067246956446193
0.070632,506.07,620.58,860.62,230.68,218.17,71.104,12.037,0.043373,0.53432,0.38191,0.13647,0.22436,0.05049,0.037175,0.10092,0.14619,1.6552040471012344
132.16,518.24,456.82,855.65,253.23,0.099049,10.001,10.639,0.080553,0.64826,0.20639,0.10172,0.25509,0.067575,0.050206,0.13903,0.1371,1.6859216044883785
0.010848,504.91,619.04,864.96,237.19,216.41,69.819,12.32,0.044537,0.7106,0.24075,0.13408,0.22465,0.051252,0.036124,0.10201,0.1447,1.6887194578870486
0.010806,503.99,619.05,864.96,237.19,214.12,69.825,12.258,0.044576,0.71476,0.24249,0.13408,0.2247,0.051271,0.036125,0.10201,0.14476,1.694783563553378
0.075224,507.62,618.53,871.09,233.51,218.69,71.077,12.061,0.043235,0.55632,0.40774,0.13629,0.22428,0.05031,0.036915,0.1009,0.14607,1.702071053481379
