Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1935.4,0.075604,160.76,3.8934,0.12038,0.14275,0.60942,0.0536,0.055197,0.15856,0.14658,0.2461,1.2802,2.8127746683820014
1935.4,0.075606,160.77,3.8881,0.12041,0.14282,0.60837,0.053697,0.055276,0.15862,0.14662,0.24608,1.2845,2.8164185979030907
1994.3,0.074098,161.07,3.8929,0.12023,0.14285,0.5984,0.053697,0.055321,0.15839,0.14674,0.24606,1.3432,2.8648674642371796
1956.1,0.072598,178.15,4.1044,0.11901,0.14132,0.64566,0.051204,0.05388,0.15646,0.14574,0.24632,1.3268,2.88634815132342
1921.1,0.076619,161.5,4.163,0.11903,0.13966,0.65816,0.04954,0.051482,0.15596,0.1446,0.24695,1.323,2.8883783606277835
1994.5,0.08339,154.5,4.2633,0.11852,0.13731,0.64775,0.048815,0.048773,0.15446,0.14328,0.24755,1.3824,2.928891267016093
1917.9,0.07168,178.07,4.2407,0.11846,0.14008,0.6803,0.049061,0.052372,0.15545,0.14491,0.24672,1.3461,2.933436135310201
1997.8,0.097036,130.13,4.1964,0.11927,0.13536,0.62164,0.049037,0.04616,0.15459,0.14208,0.24825,1.4217,2.9380996849493632
1993.7,0.071442,174.28,4.2529,0.11828,0.13971,0.6641,0.048977,0.0519,0.15503,0.1448,0.24682,1.38,2.949588900526189
1993.2,0.072421,177.97,4.2913,0.11806,0.13929,0.67009,0.048845,0.051544,0.15463,0.14457,0.24688,1.3818,2.9557021900657205
