Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
694.46,0.39123,120.4,19.994,0.056268,0.17868,0.13165,0.070265,0.084719,0.061869,0.5834477430703957
634.52,0.41698,121.85,19.996,0.056045,0.18009,0.13065,0.069912,0.084962,0.062009,0.5836734883712389
643.13,0.41602,121.44,20.0,0.056065,0.18207,0.1308,0.070018,0.084874,0.061985,0.5858080787840919
623.79,0.4232,121.71,20.0,0.056004,0.1851,0.1305,0.069872,0.084996,0.06203,0.5885031158279647
623.11,0.42323,121.68,20.0,0.056002,0.18536,0.13049,0.069868,0.085001,0.062032,0.5887483344733566
633.18,0.42137,121.04,19.731,0.055982,0.18585,0.13047,0.06994,0.084927,0.062071,0.5892437306796654
622.0,0.42,122.64,19.992,0.056013,0.18601,0.13042,0.069755,0.085086,0.062041,0.5893310629607955
623.58,0.42441,121.48,19.927,0.055987,0.18639,0.13045,0.069882,0.084984,0.062046,0.5897446722440797
626.01,0.42307,121.56,19.834,0.055982,0.18645,0.13041,0.069868,0.084989,0.062063,0.5897639959182591
623.79,0.4232,121.71,19.733,0.05596,0.18753,0.1303,0.069814,0.085027,0.062094,0.5907299722181394
