Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g59),Error (g63),Error (g86),Error (g303),Error (g237),Reduced Error
964.32,0.29237,122.96,4.3304,0.19625,0.070036,0.13557,0.055776,0.054862,0.10822,0.6207218218322302
965.02,0.29205,122.92,4.3329,0.19646,0.07003,0.13556,0.055769,0.054869,0.10819,0.620874620380899
966.34,0.29237,122.73,4.3304,0.19688,0.07003,0.13558,0.055772,0.054863,0.10821,0.6213306452541437
965.26,0.29248,122.88,4.3576,0.1974,0.069969,0.13545,0.055713,0.05494,0.10787,0.6213463810380464
964.95,0.29145,122.96,4.3427,0.19743,0.070011,0.13551,0.055746,0.054897,0.10807,0.6216669588338921
958.17,0.29062,123.93,4.3034,0.19679,0.070136,0.13566,0.055853,0.054788,0.10862,0.6218442566892322
966.87,0.29272,122.71,4.3248,0.19735,0.07004,0.13561,0.055785,0.054848,0.10828,0.6219087719245624
966.89,0.29287,122.65,4.3262,0.19751,0.070035,0.13561,0.055782,0.054851,0.10826,0.6220461410678375
964.31,0.29241,122.75,4.3298,0.19783,0.070035,0.13558,0.055774,0.054861,0.10822,0.6223026095192336
959.14,0.28574,125.64,4.2683,0.19684,0.070264,0.13577,0.05596,0.054698,0.10918,0.622704008370907
