Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
831.42,0.48412,152.64,3.0487,0.15095,0.3639,0.2497,0.093607,0.17863,0.17862,0.071197,0.15308,0.10118,1.5408642579497684
847.91,0.47937,153.17,3.0428,0.15111,0.36445,0.24957,0.093585,0.17855,0.17866,0.071205,0.15335,0.10125,1.5417297446329805
852.39,0.47872,153.22,3.0274,0.15135,0.3785,0.24943,0.093598,0.17861,0.17865,0.071284,0.15371,0.10136,1.556485809897272
843.98,0.48501,153.49,3.0432,0.15111,0.38437,0.24957,0.093593,0.17858,0.17865,0.071219,0.15332,0.10125,1.5616615577531565
852.43,0.48239,151.85,3.0254,0.1514,0.38509,0.24936,0.093632,0.17858,0.17865,0.071279,0.15375,0.10138,1.5631285617462511
857.83,0.48691,151.92,3.0252,0.15147,0.38595,0.24927,0.093635,0.17854,0.17867,0.071278,0.1538,0.10141,1.564017052368149
855.73,0.48875,151.48,3.0235,0.15149,0.38681,0.24926,0.09365,0.17855,0.17866,0.071287,0.15383,0.10142,1.5649523180871892
846.97,0.49189,151.89,3.022,0.15147,0.38867,0.24931,0.093654,0.17863,0.17863,0.071316,0.1538,0.10141,1.5669001375707337
843.42,0.49289,151.34,3.0224,0.15145,0.39059,0.24933,0.093666,0.17864,0.17863,0.071312,0.15377,0.1014,1.5687791580318171
856.78,0.49161,151.25,3.0251,0.15149,0.39212,0.24923,0.093656,0.17852,0.17867,0.071276,0.15381,0.10142,1.57019157170183
