Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
396.36,0.62104,103.98,9.4116,1.2331e-05,0.066586,0.0883,0.054553,0.12529,0.065696,0.15847,0.5588990380687489
405.9,0.62105,103.35,9.6215,1.2487e-05,0.066341,0.088016,0.054589,0.1255,0.066039,0.15991,0.5604000648463574
396.32,0.62006,104.89,9.4907,1.2918e-05,0.066551,0.088247,0.054514,0.12516,0.065747,0.16192,0.5621371353696714
398.36,0.61999,106.06,9.4819,1.3094e-05,0.066552,0.088306,0.054517,0.12512,0.06567,0.16818,0.5683395546474123
399.39,0.62861,101.74,9.0553,1.3165e-05,0.066815,0.088517,0.054443,0.12551,0.065482,0.16815,0.568920295556919
396.3,0.64417,102.24,9.5093,1.3283e-05,0.066442,0.087952,0.054492,0.12545,0.066065,0.17956,0.579968951088802
391.12,0.62067,103.69,9.0155,1.2071e-05,0.06695,0.088777,0.054507,0.12527,0.065163,0.18271,0.5833773851776249
424.45,0.59428,100.67,9.4786,1.1506e-05,0.066317,0.088137,0.05469,0.12597,0.06602,0.1867,0.5878375964245153
396.34,0.62105,104.01,9.5855,1.2318e-05,0.06646,0.088123,0.054562,0.12526,0.065892,0.18925,0.5895492787229119
389.19,0.63131,108.08,9.7943,1.3934e-05,0.066403,0.088093,0.054444,0.12465,0.065844,0.19171,0.5911349611691006
