Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g63),Error (g303),Error (g237),Error (g59),Reduced Error
721.91,0.35743,122.15,19.547,0.055631,0.26352,0.12996,0.070286,0.084635,0.062308,0.66633875911545
723.37,0.35745,121.35,19.462,0.055626,0.26362,0.13,0.070353,0.084596,0.062332,0.6665265341733022
721.94,0.35748,122.31,19.533,0.055633,0.26407,0.12995,0.070273,0.084642,0.062307,0.6668709727144024
721.85,0.35784,121.43,19.468,0.055626,0.26405,0.12999,0.070336,0.084608,0.062331,0.6669370772221244
714.78,0.36058,122.0,19.517,0.05563,0.26432,0.12993,0.070251,0.084664,0.062316,0.6671109618250123
720.15,0.35812,122.08,19.663,0.055631,0.26436,0.12999,0.070288,0.084633,0.062291,0.6671852863504181
719.88,0.35731,122.52,19.658,0.055636,0.26486,0.12995,0.070243,0.084661,0.06229,0.6676419899699421
719.88,0.35624,122.57,19.646,0.055636,0.26504,0.12994,0.070229,0.084673,0.062297,0.6678124674605769
720.75,0.35786,122.46,19.641,0.055636,0.26517,0.12996,0.070261,0.084648,0.062288,0.6679629832612364
728.49,0.35442,122.06,19.839,0.055634,0.26532,0.13007,0.070346,0.084587,0.062263,0.6682129391206688
