Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3837.4,2.3642,24.782,5.8032,0.09276,0.14033,0.078652,0.15348,1.3147,0.36557,0.076244,0.13042,0.24766,2.5998046784563815
3872.8,2.1761,26.951,5.8671,0.093173,0.14041,0.07801,0.15398,1.2555,0.42542,0.075897,0.12989,0.24835,2.6006609118811723
3793.8,2.3325,29.424,5.8621,0.093529,0.13917,0.077223,0.15483,1.3076,0.49777,0.075635,0.12954,0.24365,2.7189096411253204
3817.7,2.3203,22.711,5.8478,0.093192,0.14116,0.078717,0.15263,1.4844,0.35864,0.075628,0.1305,0.24725,2.762150519881327
3798.9,2.3361,29.421,5.8781,0.093741,0.13899,0.07702,0.15474,1.3972,0.46118,0.075473,0.12948,0.2414,2.769207788528477
3749.4,2.3267,26.339,5.8041,0.092776,0.14099,0.078659,0.15425,1.1966,0.72695,0.075978,0.13011,0.25457,2.8508347665096854
3778.6,2.2524,26.861,5.8316,0.092962,0.14096,0.07842,0.15428,1.2169,0.73248,0.07586,0.12997,0.25372,2.875590860318878
3789.2,2.2947,28.795,5.8128,0.092831,0.14005,0.07806,0.1549,1.3334,0.63019,0.076161,0.12984,0.25182,2.8872874497797008
3884.5,2.0989,22.104,5.8425,0.092701,0.14268,0.0796,0.15235,1.6283,0.35814,0.076091,0.13082,0.25763,2.918319672138198
3892.1,2.2754,22.046,5.8427,0.093031,0.14109,0.078925,0.15225,1.5122,0.51983,0.075995,0.13086,0.24618,2.950359662020738
