Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1678.1,0.136,127.23,15.391,0.069976,0.085192,0.12938,0.16606,0.063294,0.055786,0.5696894174672429
1676.2,0.13609,127.15,15.394,0.069982,0.08519,0.12938,0.16607,0.063295,0.055785,0.5697045044727891
1691.4,0.13534,126.78,15.394,0.070019,0.085169,0.12943,0.16612,0.063297,0.055781,0.5698158660844985
1725.3,0.13277,127.06,15.413,0.069987,0.08518,0.12945,0.16656,0.063299,0.055788,0.5702629288720645
1677.5,0.13559,127.25,15.412,0.069962,0.085198,0.12937,0.16734,0.063296,0.055785,0.5709518789758528
1686.3,0.13642,126.31,15.499,0.070105,0.085116,0.1295,0.16748,0.063262,0.055778,0.5712419853099977
1683.6,0.13628,126.74,15.697,0.070115,0.085092,0.12951,0.16793,0.063203,0.055787,0.5716324471026254
1683.0,0.13721,126.2,15.664,0.07018,0.085062,0.12956,0.16785,0.063205,0.055781,0.5716430771438942
1676.3,0.13709,126.92,15.41,0.070041,0.085157,0.12944,0.16795,0.063276,0.055785,0.5716519603516429
1726.8,0.13188,127.43,15.418,0.069929,0.085209,0.1294,0.1682,0.063308,0.055791,0.5718409613166355
