param_type,param_name,out_u_bound,in_l_bound,out_l_bound,in_u_bound,base
input,cp_tau_s,1,1.7154684981461377,0,3.2617860865657535,10
input,cp_b,1,-0.5392825245812297,0,0.9488871051161121,10
input,cp_tau_0,1,1.71281800020785,0,2.647656763195541,10
input,cp_n,1,0.48943813884057935,0,1.2871071991552088,10
input,average_strain,1,-2.138316270080903,0,-0.5441049609502151,10
output,average_stress,1,2.5632555734352525,0,3.6387188232374905,10
output,g51_phi_1,1,-0.11786268606009168,0,-0.07116393077027025,10
output,g51_Phi,1,0.3177291337289526,0,0.3536085207086392,10
output,g51_phi_2,1,0.48479792433188434,0,0.5037498383953108,10
output,g56_phi_1,1,0.2883833843997748,0,0.33485568961729145,10
output,g56_Phi,1,0.41261172615616365,0,0.4179032819912289,10
output,g56_phi_2,1,0.6878677036179882,0,0.6893887832686,10
output,g72_phi_1,1,-3.1507894909279903,0,0.7978766496008344,10
output,g72_Phi,1,0.4609429228889589,0,0.46630400597520993,10
output,g72_phi_2,1,0.23014225231864183,0,0.29611649216971414,10
output,g80_phi_1,1,0.11617589110034905,0,0.17169720724883591,10
output,g80_Phi,1,0.320312491425713,0,0.32660209196364864,10
output,g80_phi_2,1,0.6298171960185158,0,0.6344168073235126,10
output,g126_phi_1,1,0.41525721695423534,0,0.43982198642400344,10
output,g126_Phi,1,0.3467635993712571,0,0.3880478888284356,10
output,g126_phi_2,1,0.690125169018167,0,0.6983354710703594,10
output,g223_phi_1,1,0.6229700113102062,0,0.6695307202690886,10
output,g223_Phi,1,0.45425015530034457,0,0.4755985577561688,10
output,g223_phi_2,1,-2.016026596438249,0,0.7976967745440299,10
output,g237_phi_1,1,0.3256798268434257,0,0.3361594264847807,10
output,g237_Phi,1,0.3397693437687301,0,0.3603661730532693,10
output,g237_phi_2,1,0.6078408912826146,0,0.6142853998490184,10
output,g262_phi_1,1,0.13918618041612896,0,0.19697713537511863,10
output,g262_Phi,1,0.37823432829289566,0,0.3981484200086309,10
output,g262_phi_2,1,0.5847833789965077,0,0.6043772735885633,10
