Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1902.2,0.22636,43.569,1.5661,0.13085,0.1501,0.16841,0.12687,0.0842,0.17795,0.16202,0.2382,1.2822,2.520852056983718
1401.3,0.26993,50.431,3.2003,0.11855,0.11723,0.12221,0.09578,0.043582,0.15404,0.1435,0.24478,1.6534,2.6930326701882312
1949.6,0.21256,46.866,1.6079,0.13001,0.14852,0.16847,0.12528,0.082036,0.17661,0.16137,0.23849,1.4714,2.7022206643261537
1944.8,0.069798,121.55,6.5176,0.10922,0.11172,0.37836,0.04209,0.041062,0.13378,0.13703,0.25177,1.5325,2.7375006075891144
1905.3,0.072251,119.67,8.2778,0.1081,0.10955,1.054,0.030248,0.039788,0.12859,0.13353,0.25508,0.90325,2.7621812109400232
1909.0,0.071028,121.28,8.3231,0.108,0.10966,1.0489,0.029947,0.03992,0.12851,0.1336,0.25508,0.91882,2.7724540421446036
1944.7,0.069553,118.96,6.4921,0.1093,0.11167,0.38255,0.042409,0.040946,0.13386,0.137,0.25179,1.5708,2.78035727298891
1910.5,0.087388,119.7,5.3899,0.11081,0.11281,0.14633,0.057488,0.041917,0.13871,0.13918,0.24919,1.7861,2.782566659205304
1904.2,0.071942,120.38,8.3566,0.10803,0.10952,1.081,0.029884,0.039814,0.12842,0.13346,0.25518,0.89861,2.7838782946181544
1910.4,0.090181,117.29,5.0171,0.11137,0.11328,0.10743,0.063139,0.042294,0.14062,0.14012,0.24832,1.8276,2.794166284857289
