Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g56),Error (g126),Error (g223),Error (g237),Error (g80),Error (g72),Error (g51),Error (g262),Reduced Error
258.15,2.32,133.01,4.7831,1.02,0.087048,0.063088,0.1483,0.13444,0.24058,0.16663,0.15656,0.11024,2.1268628462536867
262.79,2.5265,117.31,5.715,1.0069,0.077842,0.061283,0.1461,0.13181,0.24287,0.23263,0.15298,0.1095,2.1619520485905537
255.7,2.0366,170.27,6.8561,0.64773,0.085723,0.06895,0.14803,0.1357,0.24117,0.59167,0.15386,0.10506,2.1778856784975487
269.6,2.2899,132.17,4.7679,1.0748,0.08781,0.062691,0.14807,0.13426,0.24049,0.1662,0.15652,0.11031,2.181136183703942
256.09,2.0233,171.63,6.8493,0.64911,0.086042,0.069071,0.14809,0.13582,0.24107,0.59331,0.15396,0.10501,2.1814889807506104
261.49,2.2355,119.78,6.6041,0.81715,0.080799,0.065144,0.1465,0.13358,0.24238,0.44118,0.1523,0.10666,2.185697398309621
274.83,2.2513,115.82,4.7847,1.0888,0.087472,0.062075,0.14775,0.13405,0.24063,0.17065,0.15634,0.11042,2.1981858145048916
257.11,1.9526,170.49,6.7641,0.66715,0.087757,0.069613,0.14843,0.13649,0.24056,0.59456,0.15457,0.10484,2.203960608090971
264.87,2.073,119.76,6.363,0.8589,0.085179,0.066227,0.14727,0.13492,0.24136,0.41421,0.15372,0.10644,2.208229267496232
256.65,1.9624,167.74,6.8909,0.65781,0.08698,0.069539,0.14828,0.13627,0.24079,0.61443,0.15422,0.10474,2.2130466891726375
