Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
1336.9,0.024944,487.05,19.661,0.073042,0.13615,0.08717,0.16498,1.1865,0.67889,0.079536,0.14117,0.25309,2.800554043915669
1350.2,0.026848,485.3,18.531,0.071822,0.13922,0.09123,0.1661,1.1077,0.74689,0.078816,0.14146,0.27663,2.819862795863001
1327.1,0.029482,410.51,18.857,0.072021,0.14059,0.090283,0.1659,1.2353,0.67138,0.078499,0.14163,0.28089,2.876491220214222
1305.3,0.014367,411.51,15.844,0.070539,0.14093,0.096142,0.16945,1.4509,0.47458,0.07737,0.14801,0.32487,2.9527592878922837
1359.2,0.026959,463.89,18.012,0.071311,0.14079,0.092589,0.16673,1.1292,0.97785,0.078499,0.14219,0.28937,3.0885304272888776
1172.5,0.0060531,470.41,15.371,0.07149,0.13295,0.091577,0.16834,1.5861,0.57051,0.076577,0.15029,0.27247,3.120270202195791
1266.8,0.013702,497.26,18.119,0.072599,0.13313,0.087187,0.16563,1.3133,0.9416,0.078313,0.14565,0.2487,3.186139144295662
1353.4,0.02843,496.54,17.899,0.071355,0.14058,0.092966,0.16685,1.0567,1.215,0.078624,0.14178,0.28906,3.252969293467111
1346.2,0.022917,484.25,17.81,0.07131,0.13926,0.09213,0.16671,1.2607,1.0472,0.0784,0.143,0.28344,3.2821222321824015
1352.6,0.015727,398.16,18.666,0.072011,0.13687,0.088514,0.1655,1.7635,0.57505,0.078236,0.14425,0.26401,3.287919042220175
