Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
608.78,99.321,235.75,482.55,353.26,0.96054,74.329,6.1413,0.21828,0.1271,0.048314,0.5945,0.050398,0.14502,0.069723,0.11064,0.14183,1.5057938104242024
609.95,98.822,235.73,482.88,353.71,0.96528,74.397,6.1443,0.21826,0.1271,0.048336,0.59529,0.050411,0.14431,0.069771,0.11067,0.14183,1.5059802058323863
579.55,93.673,235.5,487.71,348.25,0.94881,73.551,6.1266,0.21818,0.1272,0.048037,0.57326,0.050231,0.17772,0.069614,0.11035,0.14178,1.5163681926295107
610.31,98.182,235.43,481.33,353.36,0.93639,74.351,6.1371,0.21824,0.127,0.04856,0.61594,0.050376,0.13885,0.069902,0.11075,0.14185,1.521476952398949
587.31,99.018,235.92,483.59,354.81,0.96881,73.243,6.1414,0.21837,0.12729,0.047813,0.59608,0.05035,0.1614,0.069269,0.11038,0.14178,1.522733250860179
579.54,93.301,235.83,536.44,348.7,0.94224,73.199,6.0009,0.21752,0.12657,0.04999,0.55261,0.049361,0.21144,0.071716,0.11045,0.14189,1.5315410426928497
579.55,98.738,235.74,485.06,346.92,0.97277,73.398,6.1273,0.21832,0.12736,0.047552,0.58172,0.050291,0.18831,0.069091,0.11014,0.14172,1.5345050024809677
609.95,99.677,230.88,484.9,353.79,0.94329,73.956,6.1448,0.21822,0.12708,0.048505,0.62538,0.050352,0.14444,0.069948,0.11064,0.14186,1.5364297814123988
587.99,92.217,235.71,479.51,353.28,0.99904,74.281,5.9793,0.21822,0.12691,0.048706,0.6322,0.05048,0.13805,0.070514,0.11051,0.14183,1.5374119084340705
577.83,100.64,235.75,481.78,348.03,0.95582,72.708,6.1763,0.21844,0.1275,0.047201,0.58688,0.050318,0.19271,0.068604,0.11011,0.14171,1.5434690177835961
