Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g72),Error (g101),Error (g95),Error (g240),Error (g207),Error (curve),Error (g262),Error (g287),Reduced Error
425.64,5.8749,91.036,2.1643,0.043781,0.10262,0.091348,0.14377,0.22729,0.10704,0.20209,0.11438,0.11932,1.1516348212224867
438.53,1.6656,91.243,2.2289,0.043843,0.10188,0.088627,0.14328,0.22688,0.10548,0.21553,0.11444,0.11872,1.1586895601743974
439.46,1.6644,91.242,2.2269,0.043839,0.10189,0.088725,0.14331,0.22689,0.10555,0.217,0.11445,0.11875,1.1604182678645258
439.59,1.6273,91.244,2.2304,0.043841,0.10187,0.088578,0.14328,0.22687,0.10546,0.2217,0.11445,0.11872,1.1647583677322255
442.24,1.0663,93.118,2.2014,0.043731,0.10172,0.090043,0.14376,0.22706,0.10653,0.22182,0.11463,0.11914,1.168439608132455
441.26,1.1294,93.004,2.2109,0.043755,0.10169,0.089588,0.14362,0.22698,0.1062,0.2236,0.11457,0.11903,1.1690264717406242
425.64,5.8749,91.036,2.1545,0.043778,0.10265,0.091767,0.14388,0.22736,0.10732,0.22301,0.11442,0.1194,1.173583527076999
428.47,7.739,89.364,2.165,0.043777,0.10245,0.091497,0.14377,0.22736,0.10715,0.22571,0.11436,0.1194,1.1754664732379363
439.75,3.5065,89.162,2.2223,0.043837,0.10199,0.088927,0.14325,0.22698,0.10561,0.23288,0.11431,0.11886,1.1766346373272305
444.24,3.0931,90.585,2.2046,0.0438,0.10217,0.089698,0.14349,0.22709,0.10614,0.24004,0.11437,0.11902,1.1858160162389564
