Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
1770.7,0.14145,120.17,10.518,0.38128,0.087137,0.067891,0.064995,0.1283,0.055352,0.7849618843969312
1775.2,0.14227,119.48,10.541,0.38153,0.08711,0.06793,0.064941,0.12837,0.055356,0.7852332380770366
1777.2,0.1415,119.23,10.52,0.3816,0.08711,0.067929,0.064973,0.12836,0.055339,0.7853139624707288
1777.2,0.14155,119.29,10.52,0.38216,0.087113,0.067925,0.064972,0.12836,0.055341,0.7858714088834522
1777.8,0.14049,119.24,10.53,0.38277,0.087117,0.067918,0.064983,0.12834,0.055335,0.7864679886990996
1776.3,0.14082,118.96,10.57,0.38288,0.087082,0.067964,0.064943,0.12838,0.055348,0.786596127281762
1779.9,0.14079,119.23,10.532,0.38293,0.08713,0.067903,0.064965,0.12834,0.055338,0.786608964835216
1779.8,0.14065,119.41,10.528,0.38368,0.087143,0.067886,0.064971,0.12833,0.055338,0.7873414979476774
1778.4,0.14044,119.07,10.516,0.3839,0.08711,0.067927,0.064998,0.12835,0.055327,0.7876116145765508
1761.5,0.14127,121.45,10.521,0.38472,0.087174,0.067836,0.065024,0.12822,0.055369,0.7883443039969424
