Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
87.169,318.31,44.202,4.8913,7.8012e-07,0.28372,0.049561,0.027714,0.033253,0.29003,0.018326,0.11710126399463083
113.45,33.327,43.417,4.9613,7.6842e-07,0.28135,0.046482,0.028211,0.031981,0.30478,0.017363,0.11836119158369351
118.64,33.847,42.871,4.9554,7.6776e-07,0.28181,0.046398,0.028233,0.03191,0.30949,0.017426,0.11921016089823866
116.04,37.94,43.297,5.0319,7.6022e-07,0.2813,0.046519,0.028246,0.031918,0.31203,0.017495,0.1195854365630813
174.9,33.808,43.415,7.9724,7.9335e-07,0.2729,0.043504,0.029872,0.029449,0.32363,0.020176,0.11992169843194449
118.57,39.548,42.414,5.1328,7.2367e-07,0.28106,0.046419,0.02832,0.031809,0.3219,0.017659,0.1211955640370415
114.56,27.727,43.631,5.0338,7.4422e-07,0.2805,0.046202,0.028277,0.031857,0.32422,0.01742,0.12141238754788952
119.03,33.85,42.696,4.8494,7.7044e-07,0.28254,0.046516,0.028162,0.031991,0.32314,0.017324,0.12161278976022995
123.61,14.591,42.807,4.914,7.1727e-07,0.28065,0.045491,0.028307,0.031734,0.34898,0.017366,0.12542028469352853
116.11,15.322,43.155,4.7944,7.8325e-07,0.28121,0.045731,0.028217,0.031948,0.35088,0.017111,0.1258482331599865
