Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1583.5,0.33858,206.84,1.4745,0.18961,0.12286,0.55543,0.17168,0.25521,0.18811,0.20129,0.10567,0.12652,1.9163764233507992
1583.6,0.33858,207.25,1.4745,0.18961,0.12287,0.55799,0.17168,0.25522,0.18811,0.20129,0.10569,0.12652,1.9189828099703765
1583.3,0.33859,205.9,1.4837,0.1894,0.12267,0.56002,0.17146,0.25523,0.18788,0.20134,0.10544,0.12643,1.919870830305718
1597.1,0.32893,208.5,1.4805,0.18949,0.12276,0.55959,0.17158,0.25527,0.18796,0.20136,0.10556,0.12648,1.920059497660289
1583.0,0.33852,205.9,1.4838,0.1894,0.12267,0.56066,0.17145,0.25523,0.18788,0.20134,0.10544,0.12643,1.9204886349728025
1594.2,0.32904,208.49,1.4802,0.1895,0.12276,0.56028,0.17159,0.25527,0.18797,0.20136,0.10555,0.12648,1.9207643408280561
1583.4,0.33871,207.32,1.4731,0.18964,0.1229,0.56014,0.17171,0.25521,0.18814,0.20129,0.10574,0.12654,1.921304387562349
1593.0,0.32924,208.51,1.4809,0.18948,0.12275,0.56102,0.17157,0.25528,0.18795,0.20137,0.10554,0.12648,1.9214251023203748
1583.5,0.33555,207.36,1.4727,0.18965,0.12291,0.56042,0.17174,0.25523,0.18815,0.20129,0.10571,0.12654,1.9216433615685455
1588.0,0.33189,208.24,1.4805,0.18949,0.12275,0.56229,0.17157,0.25526,0.18796,0.20136,0.10554,0.12648,1.9226952931416783
