Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
236.62,221.56,74.719,9.7971,0.057371,0.14,0.11251,0.12004,0.46065,0.041854,0.13634,0.028588,0.22333,1.3206851058930866
239.12,256.09,75.704,8.5715,0.055584,0.13951,0.1113,0.10785,0.48678,0.048131,0.1369,0.027833,0.22161,1.3354938919808417
239.45,254.22,75.695,8.4981,0.055468,0.13943,0.11122,0.10773,0.48786,0.048391,0.13689,0.027855,0.22152,1.336368684415766
235.62,261.57,76.373,8.5959,0.055819,0.13927,0.11136,0.1079,0.48928,0.048269,0.13684,0.027814,0.22161,1.3381652470784096
230.49,210.56,76.796,9.8243,0.0583,0.13896,0.11271,0.12391,0.47607,0.041252,0.13584,0.028711,0.22341,1.3391639066354561
238.09,256.06,75.704,8.5743,0.055638,0.13944,0.11132,0.10786,0.49167,0.048153,0.13689,0.02783,0.22161,1.3404092613565683
239.06,239.36,75.876,9.0155,0.056422,0.13966,0.11187,0.10938,0.4935,0.045614,0.13668,0.027943,0.22224,1.34330602577323
239.25,255.95,76.323,8.5661,0.055694,0.13941,0.11132,0.10786,0.49618,0.048103,0.13685,0.027838,0.2216,1.3448515254902667
239.15,220.41,74.676,9.8444,0.05728,0.14017,0.11251,0.1216,0.48608,0.041566,0.13635,0.028687,0.22339,1.3476312630258533
238.94,256.09,76.044,8.3059,0.055154,0.13918,0.11098,0.10741,0.50119,0.049279,0.1369,0.027931,0.22128,1.349307633867833
