Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g207),Error (g95),Error (g14),Error (g287),Error (g240),Error (g262),Error (g101),Error (curve),Error (g72),Reduced Error
301.59,758.87,80.701,3.3303,0.092172,0.13855,0.043836,0.11352,0.21911,0.11946,0.073886,0.43688,0.0957,1.333105725125735
304.55,756.05,80.438,3.2802,0.092664,0.13861,0.043772,0.11364,0.21926,0.11925,0.074647,0.4356,0.09569,1.3331338573756168
304.55,756.28,80.668,3.2829,0.092635,0.13861,0.043774,0.11364,0.21925,0.11925,0.074612,0.43569,0.095696,1.3331538773336478
301.78,758.88,80.108,3.3595,0.091804,0.13851,0.043872,0.11341,0.21904,0.11962,0.073282,0.43789,0.095745,1.3331833464935507
304.75,756.1,80.43,3.2782,0.092685,0.13861,0.043769,0.11365,0.21927,0.11924,0.07468,0.4356,0.095688,1.3331917712199046
301.66,758.93,80.007,3.3724,0.091656,0.1385,0.043889,0.11336,0.21902,0.11969,0.073048,0.43852,0.095768,1.3334462898226618
301.83,758.51,79.99,3.3646,0.091734,0.13851,0.043878,0.11339,0.21903,0.11965,0.07317,0.43842,0.095757,1.3335392171145486
302.09,757.75,80.005,3.3654,0.091705,0.1385,0.043878,0.11338,0.21904,0.11965,0.073125,0.43884,0.095767,1.3338824416493766
301.84,758.53,80.323,3.3597,0.091796,0.13851,0.043872,0.11341,0.21904,0.11961,0.073281,0.43908,0.09575,1.3343503509640533
299.33,757.91,80.225,3.3894,0.091521,0.13848,0.043916,0.11333,0.21897,0.11976,0.072854,0.43986,0.095771,1.3344550436932658
