Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1448.6,0.17693,123.28,6.9015,0.062336,0.12971,0.18791,0.092727,0.067769,0.054692,0.5951473078841665
1430.6,0.18027,123.08,6.7824,0.062111,0.1299,0.18765,0.09302,0.067929,0.054682,0.5952937060503702
1430.6,0.18027,123.15,6.7805,0.062107,0.1299,0.18771,0.093025,0.067931,0.054682,0.5953510988788105
1448.0,0.17695,123.31,6.7761,0.062094,0.1299,0.18796,0.093056,0.067941,0.054682,0.59563624705712
1443.7,0.17874,122.95,6.7818,0.0621,0.12992,0.18813,0.093038,0.067929,0.054681,0.5957914942592933
1453.4,0.1756,123.61,6.8785,0.062295,0.12974,0.1885,0.092789,0.067803,0.054692,0.5958240480381185
1426.3,0.18041,123.26,6.9219,0.062383,0.12964,0.18882,0.092653,0.067731,0.054693,0.5959154042596566
1431.5,0.18034,123.19,6.772,0.062088,0.12991,0.18829,0.09305,0.067935,0.054681,0.5959489560167757
1450.3,0.17627,123.31,6.7739,0.06209,0.1299,0.18885,0.093066,0.067946,0.054682,0.5965378711725564
1450.2,0.17622,123.36,6.7691,0.062081,0.12991,0.18904,0.093079,0.067949,0.054682,0.5967371625121359
