Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
569.89,0.14201,128.36,8.4325,0.46275,0.093406,0.058183,0.068594,0.096854,0.053345,0.8331278575674006
577.26,0.13676,127.48,8.4332,0.46353,0.093013,0.05823,0.068147,0.097183,0.053312,0.8334187667571655
564.47,0.1415,129.58,8.443,0.46711,0.093693,0.058161,0.068855,0.096602,0.053355,0.8377698685184822
561.89,0.13483,131.83,8.4733,0.4746,0.093841,0.058165,0.068858,0.096382,0.053355,0.845201169144806
561.87,0.13515,133.28,8.4848,0.47455,0.093917,0.05817,0.068929,0.096275,0.053381,0.8452260892029168
575.13,0.13407,128.07,8.5393,0.47696,0.093359,0.058263,0.068601,0.096432,0.053439,0.8470516615444131
565.73,0.14123,130.84,8.4268,0.47745,0.093618,0.058154,0.068717,0.096725,0.053336,0.84800059582925
562.37,0.13475,133.91,8.4704,0.4816,0.093867,0.058162,0.068834,0.096369,0.053361,0.8521983174053875
558.31,0.13375,132.94,8.3778,0.48427,0.093754,0.058097,0.068566,0.096876,0.053219,0.8547864493750049
561.18,0.13478,132.25,8.5417,0.48597,0.094111,0.058212,0.069298,0.09591,0.053457,0.856955976652751
