Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
157.55,378.59,53.641,8.2668,0.086438,0.15308,0.1081,0.17812,0.63179,0.027762,0.14368,0.052158,0.23337,1.6145040843888052
156.48,394.69,53.657,8.3262,0.086339,0.15278,0.10823,0.18009,0.63327,0.027832,0.1435,0.051665,0.23328,1.616992794047497
155.39,378.0,54.281,8.3121,0.086988,0.1527,0.10831,0.18144,0.63159,0.027752,0.14342,0.052102,0.23339,1.6176909382167979
155.41,377.33,54.263,8.3138,0.086984,0.15272,0.10831,0.18158,0.63269,0.027749,0.14343,0.052115,0.23339,1.6189732437847795
153.92,396.93,53.992,8.3018,0.086902,0.15238,0.10829,0.17826,0.63988,0.027879,0.14325,0.051572,0.2333,1.6217084807482782
156.61,378.63,53.375,8.3113,0.086446,0.15309,0.10821,0.18034,0.64804,0.027772,0.14369,0.052072,0.23338,1.6330302599513562
155.42,393.95,53.45,8.1488,0.086696,0.15263,0.10791,0.16959,0.66414,0.027914,0.14343,0.051759,0.23332,1.6373829758701908
156.2,378.36,54.321,8.1629,0.087049,0.15267,0.10799,0.17273,0.66141,0.027796,0.14341,0.052216,0.23339,1.638656190962622
153.64,378.45,54.453,8.2424,0.087442,0.15242,0.10824,0.17715,0.65741,0.027796,0.14325,0.052096,0.23341,1.6392103599441032
160.26,377.33,53.336,8.277,0.085869,0.15347,0.10801,0.17873,0.66116,0.027725,0.14393,0.052253,0.23336,1.6445084689018783
