Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
18.483,0.00091391,6.9961,4.2686,1.4895e-08,0.28504,0.049359,0.027031,0.032665,0.26271,0.015334,0.11202284602455477
308.17,98.519,60.952,11.862,5.633e-05,0.27535,0.037853,0.032505,0.027905,0.30233,0.020424,0.11606164898742409
303.16,98.923,60.785,12.099,5.5603e-05,0.27516,0.037843,0.032538,0.027891,0.30569,0.020425,0.1165920740538244
297.67,99.284,61.043,12.184,5.4226e-05,0.27485,0.037909,0.032516,0.027896,0.31657,0.020421,0.11836019156691574
310.05,99.915,60.099,11.55,5.7047e-05,0.27572,0.037962,0.032453,0.027956,0.31827,0.020435,0.11879976128266535
300.32,96.981,61.578,12.156,5.5922e-05,0.27483,0.037852,0.032512,0.027878,0.32048,0.020416,0.1189947066421891
294.61,97.017,60.463,12.036,5.1519e-05,0.27485,0.037947,0.032489,0.027926,0.33415,0.020406,0.12129416517130565
300.23,93.406,60.802,12.667,5.3318e-05,0.27506,0.037596,0.032659,0.027814,0.33581,0.020419,0.12155922161455283
293.59,96.564,61.509,12.643,5.2985e-05,0.27459,0.037788,0.032578,0.027843,0.34683,0.020417,0.1233414315985693
304.83,98.282,60.075,12.172,5.7592e-05,0.27543,0.037772,0.032584,0.027877,0.3488,0.020437,0.12381802182088525
