Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g223),Error (g39),Error (g138),Error (g164),Error (g238),Error (g185),Error (g243),Error (g50),Reduced Error
2250.9,0.19625,289.72,16.686,0.79442,0.9116,0.11584,0.14572,0.13619,0.17069,0.059805,0.060919,0.13315,2.5283213666166033
2243.4,0.19605,289.1,16.68,0.79469,0.91762,0.11585,0.14576,0.13622,0.17073,0.059852,0.060907,0.1332,2.534831543601567
2261.9,0.20071,293.59,16.825,0.84709,0.9228,0.11589,0.14514,0.13553,0.17032,0.059625,0.060872,0.1316,2.588872638106467
2341.6,0.20297,301.42,16.555,0.96537,0.80664,0.11511,0.14699,0.13466,0.17074,0.058345,0.061823,0.13444,2.594106602799239
2269.0,0.20318,298.96,16.542,0.92169,0.85325,0.11507,0.14625,0.135,0.17071,0.058856,0.061544,0.13443,2.596789741756057
2231.7,0.19413,287.03,16.671,0.85446,0.9293,0.11596,0.14557,0.13661,0.17072,0.060109,0.060775,0.13325,2.606757804004602
2254.5,0.19612,288.41,16.623,0.8873,0.89735,0.11576,0.14715,0.13575,0.17131,0.059363,0.061292,0.13413,2.609385562562624
2186.8,0.19906,289.43,16.544,0.84982,0.93562,0.11544,0.14648,0.13565,0.17125,0.059555,0.061238,0.13448,2.609541861747602
2407.1,0.19623,295.27,16.685,1.0157,0.79039,0.11571,0.14768,0.13526,0.17098,0.058508,0.061682,0.13384,2.6297963173891707
2251.7,0.19283,286.18,16.547,0.91681,0.88915,0.11578,0.14725,0.13627,0.17142,0.0595,0.061286,0.13509,2.6325594490588498
