Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (g86),Error (g59),Error (curve),Error (g303),Error (g237),Reduced Error
1997.8,2.118e-08,271.87,3.6865,0.16931,0.10743,0.080292,1.1185,0.082835,0.15903,1.7173776245573251
1999.1,2.1511e-08,271.87,3.7426,0.16904,0.10688,0.080009,1.1347,0.082295,0.15851,1.731477002437586
1999.6,2.1663e-08,273.38,3.8064,0.16871,0.10628,0.079712,1.1877,0.081773,0.15798,1.7821227801607828
1998.5,1.7498e-08,290.53,3.7823,0.16877,0.10706,0.080224,1.2025,0.083237,0.15916,1.8009291280970239
1998.1,2.133e-08,271.96,3.8659,0.16841,0.10575,0.079461,1.2226,0.081337,0.15753,1.8150523373740226
1996.8,2.153e-08,290.11,3.7622,0.16867,0.1067,0.080021,1.2626,0.082558,0.1586,1.8591341372049581
1999.1,2.1503e-08,290.84,3.7777,0.16864,0.10659,0.07995,1.2799,0.082429,0.15848,1.8759403474749219
1901.5,2.1045e-08,272.49,3.7413,0.16651,0.10543,0.080319,1.2928,0.083392,0.1593,1.887727500991537
1998.8,9.7952e-09,273.25,3.8056,0.1693,0.10827,0.080819,1.2993,0.085037,0.16072,1.9034155051418271
1915.2,2.147e-08,284.03,3.6919,0.16697,0.10607,0.080532,1.3077,0.083837,0.15969,1.904788366552572
