param_type,param_name,out_l_bound,in_l_bound,out_u_bound,in_u_bound,base
input,cp_tau_s,0,2.361085360488826,1,3.2838663484734685,10
input,cp_b,0,0.07073956284919837,1,0.9483689472152674,10
input,cp_tau_0,0,1.7797407511767402,1,2.6769312636734686,10
input,cp_n,0,0.454280672796099,1,1.2569100818893564,10
input,average_strain,0,-2.112787930146946,1,-0.5433758964929363,10
output,average_stress,0,2.409002703401772,1,3.690975337932868,10
output,g14_phi_1,0,0.1064288947934113,1,0.17802678827043272,10
output,g14_Phi,0,0.33237785645732576,1,0.3514870904497112,10
output,g14_phi_2,0,0.6257444722246495,1,0.638149675666846,10
output,g72_phi_1,0,-2.9344202852715515,1,0.7980633641091185,10
output,g72_Phi,0,0.46092789669807765,1,0.46590309817330267,10
output,g72_phi_2,0,0.23241157842084584,1,0.2964896822850454,10
output,g95_phi_1,0,0.23095955574856905,1,0.2744118834258742,10
output,g95_Phi,0,0.27964413386530973,1,0.30220101060538185,10
output,g95_phi_2,0,0.5285053391463516,1,0.5382343086376411,10
output,g101_phi_1,0,0.16091849953978055,1,0.20463540138384767,10
output,g101_Phi,0,0.3867307652098313,1,0.3997083252404209,10
output,g101_phi_2,0,0.5402668918263006,1,0.5506318758947283,10
output,g207_phi_1,0,0.2963799537713857,1,0.3148148872107209,10
output,g207_Phi,0,0.25343493524100563,1,0.27818178456751796,10
output,g207_phi_2,0,0.5719532719625514,1,0.5819041682211966,10
output,g240_phi_1,0,0.37130804385592114,1,0.3866416261356275,10
output,g240_Phi,0,0.37121568204236116,1,0.3823592975193185,10
output,g240_phi_2,0,0.5678377032007612,1,0.5765025967334002,10
output,g262_phi_1,0,0.13893394025692368,1,0.19898680567093296,10
output,g262_Phi,0,0.37814342796774153,1,0.39813105621669675,10
output,g262_phi_2,0,0.5847381847114466,1,0.6052080464673647,10
output,g287_phi_1,0,0.3326404103874625,1,0.3489470659255977,10
output,g287_Phi,0,0.3766134508577941,1,0.3824133131262665,10
output,g287_phi_2,0,0.5547555909148791,1,0.5693387900429224,10
