Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3794.6,0.43369,494.1,17.342,0.083834,0.1308,0.073975,0.1607,1.7354,0.28001,0.077978,0.13606,0.19496,2.8736991225242776
3833.9,0.42777,461.17,18.202,0.085827,0.12938,0.07119,0.1587,1.9098,0.23776,0.078032,0.13641,0.18075,2.9878304015612356
3990.9,0.46988,498.67,19.57,0.089453,0.12429,0.067382,0.15698,2.1148,0.20629,0.080372,0.14033,0.16173,3.141666169775353
3813.0,0.45512,481.72,19.913,0.089041,0.12515,0.067555,0.15708,2.1632,0.20664,0.080053,0.13958,0.16384,3.192129692891018
3817.5,0.42272,469.65,19.588,0.087978,0.12618,0.068482,0.15746,2.1642,0.20702,0.079787,0.13845,0.16822,3.1977420301388952
3795.0,0.44992,472.24,19.665,0.088595,0.12599,0.067976,0.15722,2.1737,0.20695,0.079546,0.13885,0.16607,3.2049488962437476
3815.3,0.38313,451.8,18.331,0.085014,0.12964,0.07188,0.15897,2.1403,0.23874,0.078483,0.136,0.18399,3.2230720065055616
3812.0,0.42399,490.92,19.557,0.08758,0.12589,0.068818,0.15786,2.1966,0.20699,0.080136,0.13878,0.16951,3.2321188241510983
3796.4,0.42366,494.65,19.608,0.08752,0.12582,0.06886,0.15793,2.2221,0.207,0.080226,0.13887,0.16971,3.257996695457122
3819.3,0.48498,499.69,19.957,0.089533,0.1246,0.067165,0.15701,2.2356,0.20645,0.080172,0.14035,0.16183,3.262710714751814
