Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g164),Error (g185),Error (g238),Error (curve),Error (g223),Error (g243),Error (g138),Error (g50),Reduced Error
3681.2,3.6898,0.24945,5.2896,0.091425,0.12789,0.091256,0.15893,1.7897,0.21204,0.099024,0.16444,0.23534,2.9700352265228434
3971.3,3.5778,0.3844,5.4016,0.091913,0.12782,0.090618,0.15892,1.8425,0.21066,0.099059,0.16297,0.23386,3.0182786910954893
3960.0,3.3809,0.34043,5.2686,0.091466,0.12789,0.091061,0.15909,1.8765,0.21087,0.099413,0.16301,0.23627,3.0555854484048024
3674.2,2.4975,41.741,6.1789,0.091404,0.14072,0.070782,0.1573,1.52,0.60552,0.080802,0.13205,0.27876,3.077357651261328
3763.5,2.9341,0.23478,5.2612,0.091666,0.12759,0.091126,0.15862,1.9224,0.21373,0.098499,0.1647,0.23344,3.1017391066148563
3718.2,2.5301,40.975,6.189,0.091455,0.14039,0.070277,0.15697,1.5975,0.56451,0.080963,0.13202,0.27497,3.10909092652433
3727.8,2.495,41.287,6.2064,0.091676,0.1403,0.070119,0.15688,1.5845,0.58147,0.080748,0.13203,0.27337,3.1110972504190504
3722.6,2.479,41.778,6.2047,0.091711,0.14028,0.070233,0.15699,1.57,0.59923,0.080647,0.13205,0.27379,3.114898263346138
3728.8,2.485,41.32,6.206,0.09168,0.14033,0.070141,0.15689,1.586,0.58499,0.080746,0.13201,0.27357,3.1163100359410163
3722.6,2.4623,41.674,6.2076,0.091734,0.14037,0.070239,0.15697,1.5683,0.60358,0.080646,0.13202,0.27419,3.1180366534238635
