Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g240),Error (g262),Error (g101),Error (curve),Error (g14),Error (g72),Error (g207),Error (g287),Error (g95),Reduced Error
568.06,61.702,663.64,430.95,376.38,4.7334,74.467,4.748,0.22006,0.12274,0.052011,0.4531,0.047193,0.10026,0.067891,0.11251,0.14081,1.3165800503564165
596.19,58.346,632.15,431.64,372.68,4.9368,76.414,4.9673,0.21976,0.12318,0.051312,0.46506,0.0475,0.10064,0.067488,0.11252,0.14065,1.3281186625157815
560.8,54.593,351.92,352.5,377.66,5.4299,73.775,4.9089,0.21944,0.12539,0.050353,0.48226,0.05108,0.10233,0.071647,0.11104,0.14181,1.3553418055462587
596.15,57.772,391.14,432.33,372.69,4.2039,75.986,4.993,0.21898,0.12497,0.050809,0.50058,0.050188,0.10215,0.071682,0.11192,0.14151,1.3727861614005614
596.14,57.475,380.44,430.99,372.69,4.1128,75.97,4.991,0.21894,0.12505,0.050855,0.50593,0.050348,0.10222,0.071995,0.11191,0.14159,1.3788357274427436
600.69,56.531,380.76,431.65,366.29,4.1703,75.886,4.987,0.21888,0.12508,0.050812,0.50675,0.050406,0.10216,0.072025,0.11179,0.14153,1.3794425852095633
598.89,60.427,381.85,433.21,383.21,4.3438,76.265,5.0456,0.21897,0.12513,0.050771,0.50772,0.050251,0.10241,0.071815,0.11205,0.14161,1.3807410617385383
597.81,55.069,380.74,431.61,366.11,4.1876,75.782,5.0386,0.21888,0.12516,0.050516,0.51495,0.050388,0.10224,0.071708,0.11182,0.14148,1.3871513839461032
600.66,56.543,380.86,431.65,366.28,4.1985,75.871,4.8939,0.21891,0.12486,0.05142,0.51442,0.050447,0.102,0.07259,0.11178,0.14163,1.388056016768494
597.89,58.856,384.97,428.88,377.13,4.1039,75.787,5.0654,0.21898,0.12516,0.050551,0.51592,0.050218,0.10235,0.07149,0.11201,0.14155,1.3882174727581134
