Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g63),Error (g59),Error (g86),Reduced Error
24.597,0.77842,27.733,19.654,0.10078,0.06301,1.0781,0.14049,0.068018,0.06559,1.5159793423545174
24.532,0.77994,28.042,19.647,0.10082,0.062994,1.0838,0.14019,0.068036,0.06549,1.521291378476919
24.507,0.78991,28.125,19.647,0.10096,0.062934,1.0848,0.13961,0.068078,0.065287,1.5216736846210903
25.277,0.80397,27.678,19.522,0.10077,0.062904,1.0901,0.13914,0.068193,0.065057,1.526145927111843
24.446,0.79853,28.443,18.912,0.10072,0.062912,1.0978,0.13796,0.068667,0.06446,1.5325331506900572
25.102,0.79041,28.489,19.666,0.10072,0.06296,1.1038,0.13949,0.068076,0.065244,1.5403170194752946
24.516,0.76641,27.672,19.368,0.10052,0.063095,1.1159,0.14078,0.068175,0.065593,1.5540782388387204
24.566,0.81083,29.717,19.623,0.10117,0.062811,1.1212,0.13756,0.068281,0.064571,1.5555505057969536
25.435,0.78723,28.133,19.69,0.10056,0.063,1.1205,0.13998,0.068028,0.065413,1.557494534347353
24.232,0.78251,26.093,19.582,0.10098,0.062981,1.1191,0.14119,0.068024,0.065797,1.5581101671398663
