Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (curve),Error (g14),Error (g95),Error (g240),Error (g72),Error (g287),Error (g101),Error (g207),Reduced Error
298.37,77.587,814.62,915.84,303.45,411.49,477.33,2.9266,0.13405,0.36676,0.048672,0.16301,0.21285,0.10445,0.092263,0.051724,0.043667,1.2174444990130866
298.75,80.401,714.03,917.43,304.02,423.19,484.59,2.9169,0.13386,0.37621,0.048685,0.16195,0.21281,0.10439,0.092575,0.051043,0.044054,1.2255728645074517
299.44,80.512,716.04,915.92,304.02,424.41,495.02,2.9163,0.13336,0.38236,0.048466,0.16087,0.21282,0.10416,0.092941,0.051497,0.044705,1.2311668182747069
299.31,77.713,685.21,939.89,303.34,414.86,496.4,2.9024,0.13395,0.39271,0.048581,0.16282,0.21269,0.10421,0.09219,0.052155,0.044262,1.243557844179497
300.31,77.647,686.1,942.43,302.13,413.59,496.62,2.9024,0.13392,0.39994,0.04857,0.16281,0.21268,0.10418,0.092179,0.052235,0.044313,1.2508414246801163
300.15,77.2,684.08,912.83,279.23,413.16,495.88,2.8956,0.13432,0.40435,0.048743,0.16335,0.21279,0.10451,0.092038,0.051703,0.04384,1.2556417319741429
305.13,77.658,608.33,910.13,347.67,413.15,495.94,2.9208,0.13388,0.41041,0.048557,0.16202,0.21258,0.1043,0.092321,0.051569,0.044533,1.2601748071870464
300.1,77.299,690.69,928.48,293.88,412.83,495.88,2.9944,0.13384,0.40907,0.04846,0.16276,0.21278,0.10426,0.09213,0.052443,0.044508,1.2602462331644875
298.22,77.299,690.69,926.16,309.79,412.83,488.07,2.9964,0.13408,0.41423,0.048561,0.16321,0.21277,0.10441,0.092015,0.052083,0.044118,1.2654729354499963
311.11,76.127,815.44,923.37,304.21,422.2,486.75,2.9774,0.13325,0.41637,0.04836,0.16178,0.21289,0.10413,0.092627,0.052777,0.044634,1.2668178263281054
