Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g126),Error (g237),Error (g56),Error (curve),Error (g80),Error (g262),Error (g72),Error (g223),Error (g51),Reduced Error
232.92,198.17,63.898,8.3736,0.029018,0.088353,0.023199,0.32876,0.26288,0.11532,0.17921,0.12709,0.12212,1.2759571522161088
231.85,197.99,64.184,8.377,0.028972,0.088294,0.023083,0.33503,0.2629,0.11535,0.17802,0.12712,0.12212,1.2809009731879701
232.94,198.25,64.247,8.3727,0.028946,0.088222,0.023104,0.3398,0.26293,0.11537,0.17346,0.12703,0.12211,1.2809663020884574
232.95,198.49,64.193,8.3767,0.028953,0.088244,0.023108,0.33712,0.26293,0.11536,0.17708,0.12704,0.12211,1.281942194943132
236.63,199.1,63.113,8.2546,0.029078,0.088517,0.023766,0.3224,0.26278,0.11528,0.19525,0.12684,0.12229,1.2861935812484384
231.91,197.38,64.175,8.47,0.029039,0.088293,0.022921,0.33693,0.26292,0.1153,0.18262,0.12721,0.12196,1.287195090649174
234.24,198.77,63.706,8.2595,0.028986,0.088391,0.02352,0.32509,0.26283,0.11534,0.2015,0.12692,0.1223,1.2948775182863934
235.53,199.23,63.507,8.4278,0.029091,0.088392,0.023269,0.32378,0.2629,0.11528,0.20595,0.12703,0.12201,1.2977067315913664
234.49,199.27,63.385,8.4202,0.029114,0.088483,0.023284,0.32287,0.26287,0.11526,0.20836,0.12712,0.12205,1.299409288032581
232.94,198.79,63.832,8.4683,0.02907,0.088387,0.023031,0.3285,0.26292,0.11528,0.20359,0.1272,0.12198,1.2999621508634338
