Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (g63),Error (g59),Error (curve),Error (g86),Reduced Error
1972.1,0.13195,120.18,6.4401,0.093509,0.061746,0.13141,0.067878,0.28717,0.054834,0.6965521912553136
1972.0,0.13038,119.89,6.5252,0.093287,0.061876,0.13128,0.067774,0.28886,0.054845,0.6979149144129827
1980.4,0.12953,119.61,6.5453,0.093256,0.061892,0.13125,0.067745,0.28902,0.054842,0.6980029685983365
1962.5,0.13083,120.4,6.6111,0.093061,0.061993,0.1311,0.067659,0.2895,0.054868,0.6981838949096498
1971.5,0.13265,120.39,6.4842,0.093355,0.061842,0.13137,0.067802,0.28916,0.05485,0.6983868662591378
1972.1,0.13211,120.17,6.407,0.093618,0.06168,0.13146,0.067919,0.28936,0.054826,0.6988589905583094
1972.3,0.13206,119.91,6.4029,0.093632,0.061675,0.13149,0.067916,0.29026,0.054824,0.6997948972650249
1969.4,0.13139,120.97,6.4676,0.093444,0.061763,0.13129,0.06786,0.29066,0.054847,0.6998663822643049
1972.3,0.13303,119.98,6.3695,0.093731,0.061619,0.13157,0.067923,0.29081,0.054824,0.7004788657186541
1972.3,0.13295,119.87,6.3689,0.093734,0.061618,0.13158,0.067922,0.29087,0.054823,0.7005529433815103
