Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g138),Error (g185),Error (g39),Error (g238),Error (g223),Error (g164),Error (curve),Error (g50),Error (g243),Reduced Error
1886.0,4.7323,499.81,4.1025,0.14036,0.069733,0.10872,0.16901,0.37577,0.12149,2.0924,0.14111,0.06683,3.2854305676559936
1888.7,4.7332,499.75,4.1186,0.14056,0.069719,0.10869,0.16907,0.37583,0.12134,2.1259,0.141,0.066938,3.3190756015491525
1875.7,4.7323,499.66,4.0755,0.14025,0.069707,0.10872,0.16897,0.37792,0.12163,2.136,0.14145,0.066757,3.331371237792883
1888.7,4.7332,499.97,4.1186,0.14063,0.069709,0.1087,0.16906,0.37562,0.12132,2.1547,0.1409,0.066941,3.34754640110374
1859.4,4.8101,499.41,4.0755,0.14108,0.069464,0.10853,0.16934,0.38803,0.12108,2.1533,0.14228,0.067259,3.3603405551188947
1863.8,4.7062,498.25,4.0934,0.14064,0.069584,0.10864,0.16922,0.38493,0.12136,2.174,0.1417,0.067013,3.3770739017565536
1928.8,4.7966,499.62,4.1917,0.14029,0.069915,0.10863,0.1692,0.36841,0.12114,2.2378,0.141,0.067135,3.423475840623687
1842.7,4.7938,498.95,4.0638,0.14141,0.069354,0.10849,0.16942,0.39315,0.12096,2.2131,0.14244,0.06737,3.4257285132579205
1867.3,4.6807,499.61,4.0498,0.14001,0.069763,0.1088,0.16876,0.37481,0.12192,2.2427,0.1412,0.066507,3.434494384067856
1852.3,4.7328,499.31,4.0818,0.14136,0.069428,0.10858,0.16927,0.38854,0.12106,2.2319,0.14155,0.06719,3.438898190034181
