Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1440.0,0.17626,124.49,6.7176,0.061898,0.13005,0.19455,0.093398,0.06785,0.054753,0.6024955989215579
1440.5,0.17597,124.46,6.7176,0.061897,0.13005,0.19472,0.0934,0.067851,0.054755,0.602667946000915
1448.3,0.17452,124.17,6.7145,0.061887,0.13005,0.19561,0.093421,0.067852,0.054753,0.603573873241544
1439.4,0.17545,124.48,6.6812,0.061818,0.13009,0.19645,0.093509,0.067889,0.054757,0.6045124368224889
1458.4,0.17354,124.76,6.8318,0.062122,0.12989,0.1969,0.093092,0.067752,0.054772,0.6045193313858205
1440.1,0.17611,124.42,6.8082,0.062086,0.12993,0.19698,0.093135,0.067771,0.054769,0.6046701024595832
1437.8,0.17631,125.37,6.6846,0.061822,0.13006,0.19701,0.093499,0.067891,0.054759,0.6050507242296039
1445.6,0.176,123.91,6.8099,0.062094,0.12994,0.19741,0.093129,0.067763,0.054759,0.6051018380022217
1460.2,0.1736,124.76,6.8312,0.062122,0.12989,0.19762,0.093094,0.067751,0.054769,0.6052385040157847
1448.6,0.175,123.93,6.834,0.062139,0.12991,0.19771,0.093068,0.067745,0.054768,0.6053381370238091
