Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g56),Error (g80),Error (curve),Error (g223),Error (g237),Error (g72),Error (g262),Error (g126),Reduced Error
179.62,514.0,54.752,1.3876,0.17948,0.13228,0.23175,0.31757,0.16895,0.15734,0.21882,0.11143,0.082207,1.5998216266619651
206.37,532.41,54.19,1.362,0.1807,0.13536,0.23159,0.33719,0.16817,0.15733,0.22457,0.11146,0.082798,1.6291627323946276
200.98,544.79,54.465,1.3569,0.18062,0.1352,0.23149,0.36571,0.16846,0.15759,0.2226,0.11125,0.083136,1.656057240947724
84.129,3.4683,14.218,1.4128,0.20278,0.050795,0.24596,0.28754,0.17287,0.20271,0.29181,0.15534,0.11641,1.7262210361621793
86.84,3.357,14.311,1.4051,0.20281,0.052181,0.2454,0.30017,0.17274,0.20326,0.28634,0.15521,0.11787,1.7359830415375461
195.05,535.41,53.201,1.6968,0.17307,0.11956,0.23431,0.5133,0.16529,0.15156,0.21286,0.11276,0.072318,1.7550308845425953
214.49,572.17,54.402,1.3607,0.18067,0.13578,0.23151,0.46673,0.16796,0.1574,0.22376,0.11115,0.082998,1.7579545752764365
86.268,2.7142,14.264,1.405,0.20384,0.053574,0.24497,0.34407,0.1731,0.20559,0.27795,0.15561,0.12184,1.7805508421511207
88.189,3.3712,14.132,1.4017,0.20302,0.052768,0.24528,0.3442,0.17279,0.20343,0.28559,0.15533,0.11843,1.78082708219277
188.63,542.89,53.797,1.71,0.17267,0.11848,0.2344,0.54912,0.16554,0.15163,0.21104,0.1127,0.072185,1.7877673219200898
