Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (curve),Error (g80),Error (g72),Error (g126),Error (g223),Error (g262),Error (g237),Error (g56),Reduced Error
842.08,0.54286,176.19,2.0935,0.16763,0.46935,0.24513,0.089904,0.19004,0.17435,0.081888,0.16855,0.10886,1.6956940584610511
838.38,0.54456,177.12,2.1149,0.16715,0.47077,0.24526,0.089882,0.18974,0.17444,0.081522,0.16826,0.10867,1.6957007482413184
840.1,0.56049,173.86,2.1058,0.16735,0.47138,0.24515,0.090242,0.18986,0.17438,0.081676,0.1684,0.10874,1.6971783017542534
827.01,0.5483,176.2,2.1595,0.16612,0.47719,0.24555,0.08977,0.18919,0.17459,0.080773,0.16763,0.10828,1.699086879093418
841.59,0.54787,176.36,2.1238,0.16696,0.47602,0.24531,0.089936,0.18964,0.17447,0.081389,0.16815,0.10861,1.7004905952906713
844.65,0.53424,177.1,2.0819,0.16789,0.47484,0.24509,0.089823,0.19022,0.1743,0.082094,0.16869,0.10896,1.7019086286872336
836.97,0.55518,171.58,2.1625,0.16601,0.49007,0.24556,0.09013,0.18914,0.17459,0.080705,0.16759,0.10824,1.712025365788735
849.32,0.53895,180.07,2.066,0.16832,0.48484,0.24495,0.089868,0.19046,0.17424,0.082442,0.16891,0.10911,1.7131463238285995
815.2,0.56367,176.21,2.1271,0.16682,0.48966,0.24526,0.090229,0.1895,0.17446,0.081255,0.16806,0.1085,1.7137480727224321
828.06,0.55565,175.52,2.1132,0.16715,0.49052,0.24521,0.090147,0.18972,0.17441,0.08151,0.16827,0.10865,1.715586589989917
