Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g237),Error (g56),Error (g80),Error (curve),Error (g262),Error (g72),Error (g126),Error (g223),Reduced Error
1717.5,0.058447,0.34748,13.139,0.14672,0.11123,0.10164,0.26661,0.45006,0.11686,0.13618,0.05094,0.14451,1.524764849345238
1579.2,0.064939,0.30673,12.343,0.14598,0.11013,0.099913,0.26695,0.35672,0.11737,0.25473,0.049079,0.14327,1.5441364988662174
1604.4,0.06687,0.31975,12.326,0.14577,0.11019,0.099623,0.26682,0.37257,0.11721,0.25333,0.049092,0.1433,1.5578977299111807
1565.0,0.08304,0.61878,12.053,0.14301,0.1108,0.092909,0.26461,0.45903,0.11528,0.18379,0.048088,0.14267,1.5601848901658257
1597.3,0.041695,0.24042,12.342,0.15068,0.11032,0.10807,0.26865,0.48455,0.11912,0.12341,0.051877,0.14539,1.5620534723408472
1577.7,0.04114,0.28898,11.911,0.15088,0.11036,0.1077,0.26833,0.48934,0.11896,0.11989,0.052013,0.14561,1.5630909805853335
1528.6,0.042457,0.4343,11.939,0.14983,0.11095,0.10478,0.26704,0.49775,0.11776,0.12138,0.052235,0.14565,1.5673769555848194
1576.4,0.05672,0.26096,12.374,0.14746,0.11006,0.10268,0.26767,0.41954,0.11808,0.21037,0.0498,0.14379,1.5694434913158106
1572.5,0.058865,0.67984,12.344,0.146,0.11174,0.097702,0.26488,0.54901,0.11562,0.11696,0.050967,0.14463,1.5975125556555136
1523.3,0.08142,0.96578,12.357,0.14227,0.11183,0.090411,0.26314,0.57303,0.11405,0.11784,0.048822,0.14309,1.6044801540646834
