Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g72),Error (g56),Error (g237),Error (curve),Error (g223),Error (g126),Error (g80),Error (g262),Error (g51),Reduced Error
1413.9,0.1901,131.97,4.59,0.098437,0.060001,0.10776,0.30889,0.14102,0.035912,0.24955,0.11251,0.14049,1.2545610130581983
1426.3,0.18691,133.27,4.6012,0.097355,0.059877,0.10792,0.31225,0.14105,0.036051,0.2495,0.11244,0.14046,1.2569037504069633
1414.8,0.18996,133.3,4.6297,0.097043,0.059391,0.10761,0.31916,0.14089,0.035891,0.24966,0.11247,0.1402,1.2623100124089226
1413.3,0.19011,132.13,4.6806,0.097376,0.058817,0.10705,0.3255,0.14063,0.03561,0.24999,0.11251,0.13978,1.2672629357394718
1414.8,0.19013,131.2,4.6315,0.098517,0.059524,0.10731,0.32646,0.1408,0.035696,0.24981,0.11253,0.14015,1.270793469626271
1413.4,0.19392,129.67,4.6076,0.099845,0.05998,0.10722,0.32557,0.14076,0.035608,0.24981,0.11258,0.14029,1.27165307327013
1414.8,0.18966,133.1,4.7462,0.096178,0.057937,0.10674,0.33382,0.14041,0.035489,0.25021,0.11249,0.1393,1.2725727925920978
1414.8,0.19076,133.15,4.6191,0.097238,0.059549,0.10766,0.3291,0.14091,0.035907,0.24961,0.11248,0.14027,1.272733585719388
1432.6,0.18734,131.95,4.7237,0.097186,0.058487,0.10681,0.33397,0.14043,0.035527,0.25017,0.11249,0.13947,1.2745489257419889
1417.3,0.19288,130.85,4.6584,0.098434,0.05929,0.10701,0.33242,0.14059,0.03556,0.24997,0.11255,0.13993,1.2757518165314186
