Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g262),Error (curve),Error (g126),Error (g80),Error (g51),Error (g223),Error (g72),Error (g56),Reduced Error
1903.4,0.25868,177.47,1.6582,0.18562,0.11964,0.53839,0.16805,0.2556,0.18346,0.20309,0.10309,0.12441,1.8813438441954276
1566.5,0.31983,186.06,1.6043,0.18639,0.12049,0.5399,0.16912,0.25572,0.18472,0.24542,0.10653,0.12483,1.93310241310371
1573.3,0.32683,182.49,1.6217,0.18596,0.12025,0.46828,0.16871,0.25572,0.18433,0.35242,0.10513,0.1247,1.9654891609814527
1575.2,0.31322,185.1,1.5949,0.18664,0.12057,0.65971,0.1693,0.25568,0.18493,0.20612,0.10673,0.12487,2.014529815346684
1630.5,0.32522,179.82,1.5755,0.18721,0.12082,0.66983,0.16969,0.2555,0.18545,0.20081,0.10359,0.12505,2.0179359083726585
1566.2,0.31938,201.3,1.5701,0.18711,0.12108,0.6759,0.16991,0.25573,0.18552,0.20536,0.10739,0.12521,2.0332215930713438
1566.5,0.31942,201.24,1.569,0.18714,0.1211,0.67796,0.16994,0.25573,0.18555,0.20373,0.10728,0.12522,2.0336399840365633
1836.9,0.089676,280.84,1.423,0.19064,0.12486,0.65811,0.1744,0.25707,0.18839,0.20257,0.11154,0.12677,2.0343576119948765
1550.9,0.31824,203.18,1.5647,0.18722,0.12119,0.67797,0.17007,0.25577,0.18564,0.20468,0.10729,0.12527,2.0351035634291526
1557.3,0.3187,203.42,1.5651,0.18721,0.12119,0.6786,0.17005,0.25576,0.18564,0.20431,0.10732,0.12527,2.0353487423223795
