Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g95),Error (g14),Error (g262),Error (g287),Error (g72),Error (g101),Error (g240),Error (g207),Reduced Error
0.019865,8.2956e-06,775.5,479.46,416.39,804.23,89.737,2.887,0.29692,0.13329,0.043767,0.11883,0.11743,0.095526,0.054721,0.22508,0.078348,1.1639044296130474
0.019865,8.2956e-06,775.5,479.46,416.39,804.23,89.737,2.9149,0.31797,0.13327,0.043936,0.11898,0.1173,0.095357,0.054067,0.22495,0.077818,1.1836363705644888
0.024963,4.5607e-07,775.41,478.34,180.8,804.82,83.482,3.0544,0.35815,0.13622,0.043013,0.11759,0.11411,0.09356,0.058976,0.22695,0.081073,1.2296397969482384
0.022947,4.5127e-07,775.42,481.95,181.16,804.57,83.389,3.0809,0.36427,0.13619,0.043142,0.1176,0.11408,0.093588,0.058331,0.22682,0.08058,1.2346022239773482
0.022558,4.5311e-07,775.73,481.94,181.69,804.56,83.434,3.0833,0.36553,0.13618,0.043167,0.11761,0.11407,0.093599,0.058217,0.2268,0.080487,1.2356608049132387
0.022447,4.5164e-07,783.42,474.23,181.93,803.43,82.359,3.1163,0.3698,0.13624,0.043406,0.11774,0.11387,0.093613,0.057235,0.22663,0.079647,1.2381769531390603
0.022571,4.5126e-07,774.73,470.05,180.08,804.58,79.818,3.2393,0.37552,0.13646,0.044068,0.11809,0.11346,0.09346,0.054562,0.22601,0.077539,1.23917863637274
0.022719,4.4816e-07,775.25,485.28,179.29,796.18,81.137,3.1608,0.37213,0.13629,0.043537,0.11778,0.11377,0.093576,0.056533,0.22646,0.07913,1.2392096197101863
0.02203,4.438e-07,790.47,482.03,181.25,802.28,83.38,3.0776,0.3686,0.1362,0.043089,0.11761,0.11407,0.093672,0.058517,0.2269,0.080668,1.2393320710592468
0.022664,4.5663e-07,793.47,477.62,182.49,805.38,81.928,3.1459,0.37326,0.1362,0.043463,0.11775,0.11393,0.093595,0.05686,0.22652,0.079356,1.240929579436688
