Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g39),Error (g185),Error (g238),Error (g164),Error (g243),Error (g50),Error (g138),Error (g223),Error (curve),Reduced Error
3895.6,0.080211,131.44,17.817,0.10935,0.079144,0.15801,0.15324,0.05128,0.1196,0.12337,0.26655,0.61261,1.6731453034685233
3702.5,0.080464,132.26,17.625,0.10864,0.080034,0.15843,0.15373,0.05122,0.12144,0.12344,0.27342,0.6341,1.7044424309825021
3684.4,0.082132,132.01,17.255,0.10869,0.080574,0.1586,0.15414,0.051087,0.12169,0.12332,0.26704,0.64922,1.7143651879776545
3939.7,0.078219,134.94,17.653,0.10869,0.079345,0.15829,0.15328,0.05143,0.12119,0.12334,0.25244,0.67099,1.7189850563650086
3708.7,0.084409,124.17,17.275,0.11019,0.080167,0.15814,0.15404,0.050818,0.11815,0.12318,0.26384,0.66139,1.7199053713677377
3931.8,0.080802,127.3,16.841,0.10983,0.080171,0.1584,0.15394,0.05098,0.11906,0.12297,0.25733,0.67285,1.725521545622986
3714.5,0.080165,133.92,17.822,0.10844,0.079729,0.15837,0.15353,0.051343,0.12181,0.12351,0.26774,0.66325,1.7277198189740308
3708.6,0.079834,133.85,17.786,0.10839,0.079797,0.15841,0.15355,0.051341,0.12193,0.1235,0.26672,0.67336,1.737001874899693
3939.6,0.077462,132.58,17.515,0.1089,0.079483,0.15833,0.15331,0.051339,0.12063,0.12326,0.25893,0.7003,1.75447486865228
3830.9,0.082564,129.31,17.129,0.10954,0.080163,0.15834,0.15398,0.051004,0.11975,0.12315,0.25118,0.70773,1.7548323794859857
