Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1850.1,0.13605,124.79,3.9824,0.11305,0.11221,0.10877,0.069811,0.038433,0.14517,0.14279,0.24694,0.33887,1.3160494838656869
1847.8,0.13622,125.54,3.9837,0.11306,0.11221,0.10877,0.069773,0.038458,0.14516,0.14278,0.24695,0.33932,1.316485567083046
1850.9,0.1359,124.89,3.9487,0.11304,0.11272,0.10865,0.070509,0.038757,0.14555,0.14306,0.24669,0.33843,1.3174146853320228
1855.4,0.13684,124.79,3.9713,0.11303,0.11241,0.10873,0.070109,0.038561,0.1453,0.1429,0.24684,0.33983,1.317700556188944
1848.4,0.13595,125.34,3.9465,0.11305,0.11275,0.10865,0.070538,0.038795,0.14558,0.14307,0.24668,0.33908,1.3181943292969
1848.0,0.13678,124.08,3.985,0.11305,0.11213,0.10885,0.069756,0.038341,0.14512,0.14275,0.24698,0.34175,1.318745256628386
1878.1,0.1353,125.45,4.014,0.11299,0.11196,0.1086,0.06939,0.038358,0.14483,0.14264,0.24706,0.34388,1.3197044437093912
1878.2,0.13571,124.64,3.9624,0.11298,0.11268,0.10849,0.070454,0.038774,0.1454,0.14303,0.24669,0.34204,1.3205434600085786
1888.1,0.13528,125.42,4.0126,0.11297,0.11204,0.10852,0.069504,0.038427,0.14485,0.14268,0.24701,0.34495,1.3209510792295918
1883.5,0.13531,125.82,4.0219,0.11298,0.11189,0.10856,0.069281,0.038344,0.14475,0.1426,0.24709,0.34594,1.3214397193276133
