Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g86),Error (curve),Error (g59),Error (g63),Error (g237),Error (g303),Reduced Error
1669.9,0.1568,125.15,4.6917,0.055078,0.16327,0.069535,0.13414,0.10414,0.055993,0.5821607829252529
1653.1,0.15765,125.74,4.6999,0.055065,0.16393,0.069545,0.13404,0.10406,0.056016,0.5826550191837335
1689.6,0.15436,125.14,4.7888,0.054951,0.1663,0.069416,0.13383,0.10319,0.056326,0.5840119473921318
1653.2,0.15769,125.18,4.6953,0.055062,0.16598,0.069548,0.13407,0.10408,0.056006,0.584748020138165
1653.3,0.15752,125.27,4.6992,0.055057,0.16607,0.069546,0.13405,0.10405,0.056018,0.5847906828689505
1643.6,0.15819,125.83,4.7111,0.055044,0.16634,0.069539,0.13396,0.10393,0.056055,0.5848761602454576
1658.0,0.15816,125.23,4.6412,0.055157,0.16557,0.069599,0.1343,0.10465,0.055829,0.585104017763406
1642.2,0.1587,125.74,4.6933,0.055071,0.16638,0.069556,0.13403,0.10411,0.055997,0.5851477968938693
1652.2,0.15776,125.16,4.6933,0.055065,0.16642,0.069551,0.13407,0.1041,0.056,0.5852088646141146
1651.1,0.15816,125.51,4.635,0.055167,0.16606,0.069621,0.13429,0.10472,0.055807,0.585671042493772
