Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1999.3,0.14267,121.75,3.8286,0.11239,0.11553,0.11071,0.075149,0.040728,0.14638,0.14452,0.2451,0.6092,1.5997066215529303
1942.7,0.1475,115.15,3.731,0.11262,0.1157,0.113,0.076607,0.040654,0.14694,0.14467,0.24502,0.60482,1.6000213141952113
1944.2,0.14931,115.18,3.7608,0.11259,0.11543,0.11212,0.076153,0.040408,0.14679,0.14453,0.24513,0.60796,1.6011007321988164
1945.3,0.14715,115.2,3.7349,0.11261,0.11569,0.11286,0.076546,0.040653,0.14692,0.14466,0.24502,0.60701,1.60196540896614
1994.2,0.14743,115.95,3.7467,0.1124,0.11598,0.11279,0.076684,0.040981,0.14678,0.14479,0.24486,0.60705,1.602305789647088
1945.3,0.1476,115.14,3.7788,0.11257,0.1153,0.11141,0.075789,0.040318,0.14671,0.14446,0.2452,0.61063,1.6023827216114108
1939.2,0.14986,116.11,3.812,0.11257,0.11498,0.11054,0.075212,0.040022,0.14654,0.14429,0.24534,0.61346,1.602956528230055
1995.5,0.14784,116.23,3.6328,0.11249,0.11718,0.1156,0.078478,0.041932,0.1473,0.14534,0.24433,0.60056,1.6032001909743174
1957.7,0.1475,115.15,3.7022,0.11258,0.11611,0.11395,0.077195,0.04102,0.14705,0.14487,0.24482,0.60579,1.6033922551222377
1986.7,0.14915,115.73,3.6412,0.11251,0.11701,0.11551,0.078366,0.041767,0.14728,0.14527,0.2444,0.60219,1.6042965764536476
