Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g237),Error (g72),Error (g56),Error (g126),Error (g51),Error (g223),Error (g80),Error (curve),Reduced Error
1934.8,0.13449,127.91,3.9666,0.11279,0.11314,0.10889,0.071083,0.039547,0.14554,0.14308,0.24632,0.24355,1.2239373848043362
1934.1,0.13479,127.56,3.9479,0.11276,0.11342,0.10867,0.071494,0.039723,0.14573,0.14324,0.24619,0.24462,1.2258453220802643
1894.4,0.13495,128.38,3.9918,0.11289,0.11261,0.10931,0.070628,0.03926,0.1453,0.14277,0.24663,0.24776,1.2271622460107368
1897.5,0.13441,129.17,3.9965,0.1129,0.11258,0.10937,0.070483,0.039264,0.14526,0.14275,0.24664,0.24902,1.228252410636607
1937.3,0.13441,128.21,4.006,0.11285,0.11253,0.10918,0.070233,0.039148,0.14512,0.14273,0.24663,0.25006,1.2284718787027225
1934.5,0.1356,126.79,3.9696,0.11279,0.11303,0.10889,0.071095,0.03943,0.1455,0.14303,0.24637,0.24986,1.2300034862022218
1951.7,0.13564,126.75,3.975,0.11278,0.113,0.10887,0.070953,0.039376,0.14543,0.14301,0.24637,0.25047,1.230263849521755
1955.4,0.13563,126.76,3.9752,0.11277,0.11301,0.10887,0.070949,0.039381,0.14543,0.14302,0.24636,0.25099,1.2307766320854616
1955.5,0.13563,126.75,3.9756,0.11277,0.11301,0.10887,0.070942,0.039377,0.14543,0.14301,0.24636,0.25102,1.2307838277035141
1955.2,0.13563,126.93,3.9745,0.11277,0.11303,0.10887,0.070966,0.039398,0.14544,0.14302,0.24635,0.2512,1.231051020044659
