Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g237),Error (g63),Error (curve),Error (g59),Error (g86),Reduced Error
1646.4,0.14974,125.2,15.703,0.070307,0.08492,0.12867,0.27695,0.063027,0.055514,0.6793884523310016
1641.0,0.15016,124.91,15.733,0.070336,0.084905,0.12868,0.27697,0.063024,0.055511,0.6794261603417753
1983.0,0.12538,125.38,15.706,0.070301,0.085014,0.12902,0.27734,0.063037,0.055523,0.6802413338946779
1988.5,0.12544,125.92,15.322,0.070154,0.085095,0.12891,0.27854,0.063151,0.055497,0.6813500041941075
1642.0,0.15001,124.44,15.727,0.070368,0.084891,0.1287,0.279,0.063032,0.055504,0.6814920931808425
1994.4,0.12703,123.94,15.948,0.070558,0.084859,0.12924,0.27841,0.062951,0.055515,0.6815323055430418
1989.8,0.12703,123.94,15.948,0.070548,0.084866,0.12923,0.27846,0.062956,0.055515,0.6815733458771391
1989.9,0.12745,124.07,15.913,0.070541,0.084865,0.12923,0.2785,0.062954,0.055516,0.6816067565799675
1988.8,0.12701,123.94,15.96,0.070549,0.084866,0.12923,0.27866,0.062955,0.055516,0.6817773090605674
1989.5,0.12572,124.64,15.915,0.070442,0.084934,0.12914,0.27907,0.062979,0.055526,0.6820914463445468
