Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
300.75,231.74,77.731,9.9088,0.049982,0.13866,0.11089,0.10647,0.21766,0.042979,0.13388,0.028813,0.22137,1.0507132829322081
300.75,231.74,77.731,9.9478,0.049992,0.13872,0.1109,0.10651,0.21762,0.042863,0.13391,0.028803,0.22141,1.0507287476437834
300.46,230.23,77.742,9.8358,0.04998,0.13853,0.11088,0.10639,0.21841,0.043168,0.13382,0.028847,0.22131,1.0513321196726189
300.0,231.91,77.706,9.9219,0.050011,0.13867,0.11089,0.10649,0.21829,0.042945,0.1339,0.028811,0.22138,1.0513978010437923
300.5,229.75,77.786,9.831,0.049985,0.13852,0.11088,0.10638,0.21869,0.043172,0.1338,0.028853,0.22131,1.0515893547916852
300.54,229.75,77.802,9.8311,0.049985,0.13852,0.11088,0.10638,0.21894,0.043171,0.1338,0.028853,0.22131,1.0518316431220378
300.75,231.74,77.731,10.099,0.050009,0.13893,0.11096,0.10667,0.2202,0.042427,0.13398,0.028779,0.22155,1.053497253193857
301.18,229.11,77.924,9.8846,0.049992,0.13858,0.1109,0.10643,0.2211,0.043,0.13381,0.028844,0.22136,1.054028043891202
301.35,234.17,77.416,9.914,0.049896,0.13877,0.11087,0.10648,0.22102,0.043003,0.13395,0.02878,0.22136,1.054122946431504
301.61,233.12,77.634,9.9221,0.049925,0.13874,0.11089,0.10648,0.22134,0.04296,0.13392,0.02879,0.22137,1.0544112420062381
