Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g63),Error (curve),Error (g86),Error (g237),Error (g303),Error (g59),Reduced Error
1935.3,0.11904,124.93,20.0,0.13061,0.16887,0.055948,0.084165,0.071207,0.062084,0.5728933276654137
1935.2,0.11903,124.87,20.0,0.13062,0.16887,0.055947,0.084159,0.071216,0.062086,0.5729009321741048
1929.1,0.11914,125.05,20.0,0.13053,0.16932,0.055938,0.084184,0.071179,0.062086,0.5732359927442667
1922.7,0.11951,124.98,20.0,0.1305,0.1695,0.055926,0.084167,0.071195,0.062092,0.5733758233636748
1933.0,0.11979,124.43,20.0,0.13071,0.16944,0.055939,0.084081,0.071317,0.062094,0.5735817799198413
1954.7,0.11814,125.03,19.953,0.13068,0.16964,0.055964,0.084196,0.071176,0.062076,0.5737312318885261
1945.3,0.11882,124.6,19.936,0.13067,0.16989,0.055942,0.084128,0.071261,0.062088,0.5739817991806868
1935.2,0.1188,124.81,19.985,0.1306,0.17003,0.055941,0.084164,0.07121,0.06209,0.5740294643701817
1946.8,0.11796,125.25,20.0,0.13061,0.17003,0.055968,0.084238,0.07112,0.062075,0.5740392482941843
1947.9,0.11893,124.72,19.959,0.13071,0.16999,0.055954,0.084135,0.071253,0.062081,0.5741319107808251
