Param (cp_lh_0),Param (cp_lh_1),Param (cp_lh_2),Param (cp_lh_3),Param (cp_lh_4),Param (cp_lh_5),Param (cp_tau_0),Param (cp_n),Error (g262),Error (g80),Error (g51),Error (g72),Error (curve),Error (g56),Error (g126),Error (g237),Error (g223),Reduced Error
99.517,283.61,133.62,233.7,97.304,14.503,111.29,18.334,0.10089,0.25179,0.12783,0.14542,0.77443,0.051534,0.059465,0.11296,0.14639,1.7707097690548075
99.812,286.4,133.71,232.79,97.303,16.054,110.26,18.301,0.10133,0.25296,0.1268,0.23055,0.71022,0.048632,0.057689,0.11136,0.14464,1.784196445686823
103.66,239.82,193.48,252.71,106.86,14.823,120.54,18.3,0.10079,0.2509,0.12608,0.16197,0.85465,0.048198,0.059153,0.11328,0.14517,1.8601835751995812
114.07,20.687,424.92,245.29,99.406,10.823,166.75,18.328,0.098836,0.24252,0.1256,0.094703,0.90387,0.048629,0.069829,0.12851,0.15994,1.8724402481497444
87.937,255.2,142.09,138.3,85.429,19.747,108.81,18.33,0.10106,0.2557,0.12118,0.28719,0.77921,0.036593,0.05147,0.10793,0.14117,1.8814993256177655
97.315,230.0,162.11,221.17,370.96,6.9056,129.05,18.334,0.096495,0.24045,0.14108,0.1207,0.83353,0.07971,0.078521,0.1301,0.16569,1.8862739106535797
48.692,385.92,192.25,253.94,334.93,8.7196,99.197,18.342,0.099016,0.24584,0.13244,0.10026,0.91136,0.063486,0.064211,0.11935,0.1522,1.8881683258549837
99.775,300.24,143.36,111.86,275.99,14.209,119.91,18.306,0.097568,0.24731,0.12695,0.10161,0.92554,0.055089,0.063584,0.11837,0.15321,1.8892344140417134
97.206,306.51,133.57,120.12,30.645,9.1337,144.68,18.332,0.097061,0.24647,0.12774,0.11301,0.92522,0.055591,0.06508,0.12145,0.15279,1.9044229630146041
37.529,253.26,161.49,260.24,254.32,10.557,103.41,18.471,0.10049,0.24792,0.13002,0.12969,0.92042,0.057449,0.060329,0.11581,0.15008,1.9122159614700704
