Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g51),Error (g126),Error (g223),Error (curve),Error (g80),Error (g72),Error (g56),Error (g237),Error (g262),Reduced Error
1610.5,0.21601,154.03,6.0677,0.17216,0.13104,0.76049,0.63359,0.2589,0.1022,0.11682,0.12155,0.12837,2.425126601423702
1593.0,0.21502,153.69,6.0405,0.17209,0.13116,0.75054,0.6518,0.25897,0.10215,0.11683,0.12157,0.12839,2.433507341469816
1610.5,0.21483,154.27,6.1318,0.17209,0.13125,0.80278,0.62764,0.25919,0.10224,0.11687,0.1213,0.12839,2.461748876427191
1570.2,0.20973,154.18,5.9956,0.17188,0.13137,0.70269,0.73086,0.25916,0.10193,0.11688,0.12161,0.12835,2.4647142453112663
1568.3,0.47872,136.54,3.0031,0.17495,0.13916,0.53241,0.87557,0.24703,0.11014,0.11823,0.14883,0.12236,2.468687278038251
1444.8,0.21268,155.27,5.9237,0.17138,0.13228,0.79154,0.65174,0.26015,0.10157,0.11701,0.12132,0.12865,2.475650520955016
1570.0,0.21286,154.04,5.9272,0.17201,0.13112,0.75194,0.70307,0.2588,0.10198,0.11682,0.12189,0.12834,2.48596530731189
1581.2,0.21285,153.99,6.0988,0.17194,0.13147,0.81583,0.64772,0.25938,0.10208,0.1169,0.12128,0.12843,2.4950317921928358
1349.3,0.21441,154.36,5.9202,0.17097,0.13324,0.91371,0.65864,0.26118,0.1013,0.11713,0.12089,0.12897,2.6060269937168314
1608.2,0.21726,160.25,6.0815,0.17196,0.13106,0.72199,0.87159,0.25912,0.10224,0.11689,0.12149,0.12821,2.6245457162910832
