Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (curve),Error (g237),Error (g303),Error (g59),Error (g63),Error (g86),Reduced Error
515.04,0.22612,47.21,19.387,0.36593,0.087391,0.064175,0.07415,0.10582,0.050177,0.7476388123546517
519.42,0.22637,47.6,19.665,0.36931,0.087397,0.064187,0.073951,0.1058,0.050159,0.7508087226918296
517.08,0.22418,46.819,19.55,0.36971,0.087351,0.06424,0.073947,0.10595,0.050142,0.7513362292801952
515.26,0.22612,47.008,19.377,0.36986,0.087374,0.064193,0.074102,0.10588,0.050175,0.7515824217046367
533.12,0.20632,46.808,19.307,0.38423,0.086912,0.064572,0.073618,0.1063,0.050272,0.7658993491161593
527.75,0.22326,45.018,19.418,0.39166,0.087053,0.064495,0.073225,0.10686,0.050196,0.7734843872413462
514.78,0.21186,48.006,19.444,0.39617,0.087334,0.064235,0.074483,0.10543,0.050173,0.7778213611914983
519.57,0.23654,46.983,19.408,0.39808,0.087391,0.064156,0.073792,0.10613,0.050209,0.7797580570640643
529.31,0.21012,46.589,19.902,0.4011,0.087093,0.064497,0.073482,0.10617,0.050134,0.7824758708661764
529.24,0.21662,46.768,19.922,0.40166,0.087161,0.064427,0.073428,0.10619,0.050142,0.7830071768220996
