Param (cp_lh_0),Param (cp_lh_1),Param (cp_tau_0),Param (cp_n),Error (g14),Error (g262),Error (g287),Error (g72),Error (curve),Error (g207),Error (g95),Error (g101),Error (g240),Reduced Error
293.57,226.13,74.814,9.7209,0.049813,0.13929,0.11049,0.10678,0.34638,0.043324,0.1342,0.029014,0.22128,1.1805619803947878
293.72,229.25,74.81,9.8242,0.049809,0.13944,0.11056,0.10689,0.34899,0.043066,0.13425,0.028967,0.22137,1.1833467343598523
294.43,227.65,74.526,9.8162,0.049732,0.13949,0.11056,0.10687,0.34987,0.043079,0.13424,0.028974,0.22137,1.1841869457019218
291.64,224.33,75.175,9.6226,0.049959,0.13904,0.11042,0.10669,0.35011,0.043592,0.13414,0.029066,0.22119,1.1842107463562797
298.71,217.68,74.538,9.737,0.049541,0.13949,0.11054,0.10673,0.35086,0.043123,0.13405,0.029049,0.22135,1.184730686135295
292.38,226.79,74.873,9.7476,0.049881,0.13928,0.11051,0.10682,0.351,0.043259,0.13421,0.02901,0.22131,1.185277624813346
292.03,229.82,75.062,9.799,0.049929,0.13931,0.11054,0.10688,0.35126,0.043145,0.13425,0.02898,0.22134,1.1856513652647487
301.63,226.68,73.679,9.9053,0.049289,0.13997,0.11061,0.1069,0.35664,0.042802,0.13425,0.028927,0.22145,1.1908351877521637
293.58,220.36,74.82,9.6887,0.049818,0.13923,0.1105,0.10673,0.35782,0.043331,0.1341,0.029062,0.22129,1.1918695540847213
294.9,225.97,74.011,9.7188,0.049619,0.13945,0.11046,0.10676,0.35888,0.043366,0.13423,0.029002,0.22127,1.1930319654799488
