Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g303),Error (g63),Error (curve),Error (g237),Error (g59),Error (g86),Reduced Error
1319.8,0.18678,125.87,5.8101,0.058857,0.12909,0.13892,0.09707,0.068991,0.053973,0.5469037170002128
1314.4,0.18836,127.79,5.5929,0.058448,0.12994,0.13739,0.098006,0.06902,0.054156,0.5469531440952791
1305.6,0.18722,128.71,5.6482,0.058557,0.12961,0.14014,0.097751,0.069037,0.054094,0.54918673566459
1324.0,0.19163,126.18,5.3571,0.057922,0.13108,0.13992,0.099231,0.069057,0.054373,0.5515832752898738
1322.7,0.19234,126.31,5.3657,0.057943,0.13104,0.14162,0.09918,0.069046,0.054367,0.5531990439933642
1324.3,0.19175,126.02,5.3334,0.057866,0.13119,0.14275,0.099365,0.069068,0.054395,0.5546337816201056
1336.5,0.19351,124.0,5.3389,0.057874,0.1313,0.14587,0.099345,0.069008,0.054407,0.557804124905883
1323.9,0.19074,126.61,5.3336,0.057871,0.13116,0.14613,0.099353,0.069082,0.05439,0.5579796527859292
1335.4,0.1916,125.58,5.4266,0.058099,0.13085,0.14866,0.098826,0.068997,0.054324,0.5597643616921467
1338.1,0.19386,123.91,5.3334,0.057863,0.13134,0.15019,0.099373,0.069002,0.054414,0.5621808817589432
