Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g59),Error (g63),Error (g303),Error (curve),Error (g86),Error (g237),Reduced Error
654.63,0.39162,122.72,13.894,0.06395,0.12792,0.068552,0.30244,0.055686,0.086038,0.7045816866219555
651.48,0.39694,121.62,13.982,0.063899,0.12809,0.068734,0.3055,0.055689,0.085923,0.7078373526473616
651.62,0.39697,121.58,13.982,0.063898,0.1281,0.06874,0.3056,0.055689,0.085921,0.7079475332660756
641.71,0.40305,121.65,13.783,0.063967,0.12804,0.06864,0.30644,0.055679,0.086019,0.7087890494494231
665.16,0.3898,120.87,13.686,0.063985,0.12816,0.068668,0.30632,0.055688,0.086048,0.708864599540856
638.85,0.40471,121.73,13.783,0.063969,0.12803,0.068632,0.3071,0.055678,0.086021,0.709427051190397
636.41,0.4047,121.73,13.686,0.06401,0.128,0.068578,0.3077,0.055672,0.086077,0.7100305228926533
640.23,0.40592,121.73,13.766,0.063965,0.12804,0.068634,0.30826,0.055682,0.086021,0.710601617014611
634.27,0.40908,122.07,13.813,0.063956,0.12799,0.068618,0.30839,0.05568,0.086011,0.7106486917007904
641.76,0.40604,121.04,13.798,0.063946,0.12814,0.068728,0.30818,0.055683,0.085968,0.7106529092971733
