Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Param (cp_gamma_0),Error (g59),Error (g237),Error (g86),Error (g63),Error (g303),Error (curve),Reduced Error
526.78,0.53993,160.28,13.17,2.8826e-05,0.0655,0.08879,0.053833,0.12524,0.064607,0.21229,0.6102609188307244
526.7,0.5432,160.04,12.188,2.8829e-05,0.065474,0.089964,0.054014,0.12565,0.063845,0.21309,0.612037591912881
530.02,0.54153,160.34,12.199,2.8315e-05,0.065467,0.08992,0.054012,0.12565,0.063866,0.22277,0.621679878174037
527.9,0.58132,144.83,13.38,2.7501e-05,0.065109,0.088575,0.053953,0.12629,0.065039,0.22597,0.6249411036836042
526.7,0.5432,160.04,11.701,2.8829e-05,0.065521,0.090622,0.054096,0.12588,0.063411,0.22805,0.6275768406410378
531.53,0.54599,155.48,12.761,2.9252e-05,0.065352,0.089377,0.053968,0.12581,0.064334,0.23087,0.6297169808793285
482.05,0.57604,160.75,13.197,2.9707e-05,0.065645,0.088567,0.053753,0.12474,0.064645,0.23386,0.6312013550980049
521.19,0.5417,159.32,12.149,2.8814e-05,0.065522,0.090007,0.053999,0.12563,0.063816,0.23587,0.6348442870954579
531.69,0.5438,155.33,12.197,2.897e-05,0.065383,0.090054,0.054049,0.12602,0.063891,0.23741,0.636806377808079
529.57,0.55488,156.23,11.72,3.2478e-05,0.06536,0.090913,0.054186,0.12636,0.063354,0.24316,0.6433271037056716
