Param (cp_tau_s),Param (cp_b),Param (cp_tau_0),Param (cp_n),Error (g237),Error (g303),Error (curve),Error (g86),Error (g63),Error (g59),Reduced Error
663.56,0.37593,120.3,19.114,0.084664,0.070161,0.20684,0.05557,0.12934,0.062192,0.608766975241018
663.69,0.37565,121.88,19.279,0.084755,0.070033,0.20768,0.055621,0.12934,0.062151,0.60958104533017
667.54,0.37405,121.88,19.287,0.084737,0.070061,0.20847,0.055624,0.12937,0.062146,0.6104019991913597
670.97,0.37377,122.45,19.65,0.084746,0.070098,0.20877,0.055707,0.12962,0.06206,0.6109965457462406
668.62,0.37784,122.14,19.651,0.084728,0.070119,0.21184,0.055713,0.12966,0.062047,0.6141035512202624
664.18,0.36261,122.2,19.134,0.084836,0.069928,0.21411,0.055551,0.12909,0.062246,0.615757368033074
681.64,0.37355,122.4,19.909,0.084681,0.070225,0.21322,0.05577,0.12991,0.061984,0.6157895787962562
897.03,0.27584,122.15,19.864,0.085494,0.069531,0.21333,0.055772,0.13043,0.061867,0.6164220187651631
667.0,0.37496,122.49,19.718,0.08477,0.070074,0.21592,0.055719,0.12964,0.062052,0.6181797558589454
675.99,0.37785,121.12,19.649,0.084618,0.070285,0.21649,0.055709,0.1298,0.062035,0.61893850848359
