Param (lh_0),Param (lh_1),Param (tau_0),Param (n),Param (gamma_0),Error (g63),Error (g237),Error (g303),Error (g59),Error (curve),Error (g86),Reduced Error
36.478,1.7877e-05,24.986,15.43,1.2176e-08,0.27081,0.035311,0.03231,0.031044,0.25904,0.015016,0.10725460288828413
226.57,11.831,72.826,2.9479,6.1224e-05,0.30329,0.057273,0.027989,0.032363,0.2335,0.022524,0.11282261647487053
239.51,12.135,71.282,3.2172,6.6355e-05,0.29914,0.053663,0.027452,0.03144,0.25038,0.020668,0.11378935959141434
224.85,11.777,72.703,3.0415,6.1229e-05,0.30141,0.055981,0.027744,0.032046,0.24626,0.021745,0.11419736123355535
236.63,12.728,70.779,3.021,5.7453e-05,0.30253,0.056068,0.027711,0.03205,0.2499,0.02189,0.11502442472914447
240.55,12.205,72.164,3.0196,6.419e-05,0.30258,0.056264,0.027801,0.032028,0.24951,0.022083,0.11504481776488468
245.09,12.831,72.186,3.1471,6.9968e-05,0.30061,0.054847,0.027601,0.031646,0.25432,0.021337,0.11506048583640559
33.977,9.082e-06,27.588,15.677,5.3058e-08,0.26984,0.039318,0.0301,0.028954,0.31323,0.016025,0.11624474323680034
84.293,0.021521,25.137,15.02,4.1088e-10,0.27229,0.032553,0.035231,0.032213,0.33563,0.016292,0.1207026622933031
230.57,11.455,71.92,2.7551,5.6235e-05,0.30735,0.059716,0.028582,0.033055,0.27239,0.024111,0.12086706948983604
